Nơi dùng nước,Đơn vị dùng nước,Tiêu chuẩn dùng nước trong ngày dùng nhiều nhất 1/ngày
1,2,3
Nhà ở bên trong mỗi căn hộ có một vòi nước sử dụng chung cho các nhu cầu sinh hoạt,Một người,Từ 80 đến 100
"Nhà ở bên trong có trang thiết bị vệ sinh : vòi tắm, rửa, xí trong 1 căn hộ khép kín",Một người,Từ 100 đến 150
"Nhà ở bên trong mỗi căn hộ có trang thiết bị vệ sinh : Hương sen tắm, rửa, xí, tắm đặc biệt",Một người,Từ 150 đến 200
Nhà ở bên trong mỗi căn hộ có bồn tắm và cấp nước nóng cục bộ,Một người,Từ 350 đến 400
"Nhà ở tập thể kí túc xá có xí, tiểu vòi tắm giặt chung đặt ở các tầng",Một người,Từ 75 đến 100
"Nhà ở tập thể có xí, tiểu, vòi tắm giặt, bếp riêng cho từng phòng",Một người,Từ 100 đến 120
Khách sạn – Hạng III,Một người,Từ 100 đến 120
&nbsp;&nbsp;\- Hạng II,Một người,Từ 150 đến 200
&nbsp;&nbsp;\- Hạng I,Một người,Từ 200 đến 250
&nbsp;&nbsp;\- Hạng đặc biệt,Một người,Từ 250 đến 300
"Bệnh viện, nhà điều dưỡng, nhà nghỉ (có bồn tắm chung và vòi tắm hương sen)",1 giường bệnh,Từ 250 đến 300
"Nhà điều dưỡng, nhà nghỉ có bồn tắm trong tất cả các phòng",1giường,Từ 300 đến 400
"Trạm y tế, phòng khám đa khoa",1 bệnh nhân,15
Nhà tắm công cộng có vòi tắm hương sen,1 người tắm,Từ 125 đến 150
Nhà giặt bằng tay,1kg đồ giặt,40
Nhà giặt bằng máy,1 kg đồ giặt,Từ 60 đến 90
"Công ty ăn uống, cửa hàng ăn uống",,
a) Chế biến thức ăn tại chỗ,1 món ăn,12
b) Chế biến thức ăn đem về nhà,1 món ăn,10
Nhà ăn tập thể,1 người/ 1 bữa ăn,Từ 18 đến 25
Bể bơi trong 1 ngày đêm,,
a) Bổ sung nước tràn,% dung tích bể,10
b) Vận động viên (tính cả tắm),1 vận động viên,50
c) Khán giả,1 chỗ ngồi,3
Nhà trẻ,,
a) Gửi ban ngày,1 trẻ,75
b) Gửi cả đêm,1 trẻ,100
Trụ sở cơ quan hành chính,1 cán bộ,Từ 10 đến 15
Rạp chiếu bóng,1 ghế,Từ 3 đến 5
Câu lạc bộ,1 chỗ ngồi hay 1 người xem,10
Nhà hát,,
a) Khán giả,1 chỗ,10
b)Diễn viên,1 diễn viên,40
"Trường học, trường phổ thông",1học sinh hay 1 giáo viên,Từ 15 đến 20
"Sân vận động, nhà thi đấu thể thao",,
a) Vận động viên (kể cả tắm),1 vận động viên,50
b)Khán giả,1 chỗ,3
Nước tưới,,
"a) Tưới sân thể thao, sân chơi, khán đài và các công trình thể thao ngoài trời, cây xanh đường sá bên trong khu vực sân vận động",1$m^{2}$,"1,5"
b)Tưới mặt cỏ sân bóng đá,1$m^{2}$,3
Người phục vụ nhà công cộng,1 người trong 1 ca,25
