Loại thiết bị,"Hiệu suất tối thiểu $E_{T}$, %"
"Các bộ đun, trữ nước dùng khí đốt",78
Các bộ đun nước tức thời dùng khí đốt,78
"Các bộ đun, cung cấp nước nóng bằng khí đốt",77
"Các bộ đun, cung cấp nước nóng bằng dầu",80
"Các bộ đun, cung cấp nước nóng dùng khí đốt và dầu",80
"Lò hơi công suất nhiệt 10-350 kW, đốt củi, giấy",60
"Lò hơi công suất nhiệt 10-2000 kW, đốt than nâu",70
"Lò hơi công suất nhiệt 10-2000 kW, đốt than đá",73
Bộ đun nước nóng bằng điện trở,"$E_{\min} = 5,9 + 5,3V^{0,5}$ (W)"
