"PHIẾU KHẢO SÁT TỔ ĐỘI, THU THẬP GIÁ NHÂN CÔNG XÂY DỰNG TẠI CÔNG TRÌNH","PHIẾU KHẢO SÁT TỔ ĐỘI, THU THẬP GIÁ NHÂN CÔNG XÂY DỰNG TẠI CÔNG TRÌNH","PHIẾU KHẢO SÁT TỔ ĐỘI, THU THẬP GIÁ NHÂN CÔNG XÂY DỰNG TẠI CÔNG TRÌNH","PHIẾU KHẢO SÁT TỔ ĐỘI, THU THẬP GIÁ NHÂN CÔNG XÂY DỰNG TẠI CÔNG TRÌNH"
Tên dự án:,Tên dự án:,Số thứ tự phiếu khảo sát:,CT.01
Tên công trình:,Tên công trình:,Khu vực công bố:,
Loại công trình:,Loại công trình:,Vùng (theo phân vùng CP):,
Tên chủ đầu tư:,Tên chủ đầu tư:,Nguồn vốn dự án:,
Tên nhà thầu xây dựng:,Tên nhà thầu xây dựng:,,
Địa điểm XDCT:,Địa điểm XDCT:,,
Thời gian khảo sát:,Thời gian khảo sát:,,
Đơn vị khảo sát:,Đơn vị khảo sát:,,
STT,Họ và tên,Giá nhân công xây dựng thực nhận (đ/ngc),Ghi chú
[1],[2],(3),(4)
1,Nhóm 1,Nhóm 1,"Thời gian làm việc/ca, điều kiện làm việc, …"
,Nguyễn Văn A,,"Thời gian làm việc/ca, điều kiện làm việc, …"
,Nguyễn Văn B,,"Thời gian làm việc/ca, điều kiện làm việc, …"
,….,,"Thời gian làm việc/ca, điều kiện làm việc, …"
,Giá nhân công xây dựng bình quân nhóm 1 (đ/ngày công),,"Thời gian làm việc/ca, điều kiện làm việc, …"
2,Nhóm 2,,"Thời gian làm việc/ca, điều kiện làm việc, …"
,Nguyễn Văn B,,
,Nguyễn Văn C,,
,..,,
,Giá nhân công xây dựng bình quân nhóm (đ/ngày công),,
