STT,Đối tượng bảo vệ,Hệ thống chữa cháy tự động,Hệ thống báo cháy tự động
3.1.,"Phòng thông gió, phòng máy biến áp, phòng thiết bị phân tách của các công trình đài phát sóng có công suất phát 150 kW trở lên, các trạm thu sóng với số lượng máy thu từ 20 máy, các trạm thông tin vệ tinh cố định có công suất phát lớn hơn 1 kW, các đài truyền hình chuyển tiếp có công suất phát 25-50 kW, các nút mạng, tổng đài điện thoại liên tỉnh và thành phố, trạm điện báo, điểm khuếch đại thiết bị đầu cuối và trung tâm liên lạc khu vực",-,Không phụ thuộc vào diện tích
3.2.,"Xưởng kỹ thuật của các trạm khuếch đại đầu cuối, trạm chuyển tiếp vô tuyến trung gian, trung tâm truyền và nhận sóng mà không có giám sát hoặc người trực vào buổi tối",Không phụ thuộc vào diện tích,
3.3.,Cơ sở/công trình trạm gốc của hệ thống thông tin vô tuyến di động và trạm chuyển tiếp của hệ thống thông tin vô tuyến di động không có giám sát,Diện tích từ 24 $m^{2}$ trở lên,Không phụ thuộc vào diện tích
3.4.,"Phòng tổng đài số, trung tâm kiểm soát điện thoại; trung tâm máy tính, điện báo của bưu điện tỉnh, thành phố trong nhà có khối tích:",,
3.4.1.,40 000 $m^{3}$ trở lên,Diện tích từ 24 $m^{2}$ trở lên,Không phụ thuộc vào diện tích
3.4.2.,Dưới 40 000 $m^{3}$,-,Không phụ thuộc vào diện tích
3.5.,"Phòng tổng đài điện thoại, trong đó thiết bị chuyển mạch là loại điện tử hoặc bán điện tử được lắp đặt cùng với một máy tính được sử dụng như một tổ hợp điều khiển, thiết bị đầu vào, đầu ra; Phòng chứa thiết bị chuyển mạch điện tử, nút, trung tâm truyền thông tài liệu với công suất: $^{1) 2)}$",,
3.5.1.,"10 000 số, kênh hoặc điểm kết nối trở lên",Không phụ thuộc vào diện tích,
3.5.2.,"Dưới 10 000 số, kênh hoặc điểm kết nối",-,Không phụ thuộc vào diện tích
3.6.,"Phòng chuyên dụng (dành riêng) cho thiết bị chia, kết nối có sử dụng máy vi tính để điều khiển các tổng đài điện thoại tự động với công suất trạm:",,
3.6.1.,"10 000 kênh liên tỉnh, thành phố trở lên",Diện tích từ 24 $m^{2}$ trở lên,Không phụ thuộc vào diện tích
3.6.2.,"Dưới 10 000 kênh liên tỉnh, thành phố",-,Không phụ thuộc vào diện tích
3.7.,"Phòng để xử lý, phân loại, lưu trữ và chuyển phát bưu kiện, thư từ, điện tín, điện báo, báo chí",Diện tích từ 500 $m^{2}$ trở lên,Không phụ thuộc vào diện tích
4.,"Gian phòng, buồng giao thông vận tải",,
4.1.,"Các phòng, buồng sản xuất, sửa chữa, gia công tàu hỏa, tàu điện, tàu thủy (máy điện, thiết bị, sửa chữa và gia công toa tàu, bánh, động cơ...)",Diện tích từ 1 000 $m^{2}$ trở lên,Diện tích từ 300 $m^{2}$ trở lên
4.2.,"Phòng và công trình thành phần của hệ thống tàu điện ngầm (trừ lối đi và sảnh chờ hành khách, đường hầm tàu điện, trạm bơm nước, thiết bị sưởi, buồng thông gió)",Không phụ thuộc vào diện tích,
4.3.,"Phòng sửa chữa, bảo dưỡng, lưu giữ ô tô",,
4.3.1.,"Gian phòng sửa chữa, bảo dưỡng ô tô",Diện tích từ 700 $m^{2}$ trở lên,Diện tích từ 300 $m^{2}$ trở lên
4.3.2.,"Phòng lưu giữ ô tô trong nhà có công năng khác (trừ trong nhà ở), đặt tại:",,
4.3.2.1.,Tầng nổi,Từ 3 xe ô tô trở lên,Không phụ thuộc vào diện tích
4.3.2.2.,"Tầng hầm, tầng bán hầm (kể cả dưới gầm cầu)",Không phụ thuộc vào diện tích,
4.4.,"Phòng tháo lắp động cơ máy bay, thiết bị bay, sác si và bánh xe máy bay, trực thăng; phòng sản xuất, sửa chữa động cơ máy bay",Không phụ thuộc vào diện tích,
5.,Gian phòng công năng công cộng,,
5.1.,"Phòng lưu trữ thư viện với số lượng các loại tài liệu, sách:",,
5.1.1.,Từ 250 000 đơn vị trở lên,Không phụ thuộc vào diện tích,
5.1.2.,Dưới 250 000 đơn vị,-,Diện tích từ 300 $m^{2}$ trở lên
5.2.,"Phòng trưng bày, triển lãm $^{3)}$",Diện tích từ 1 000 $m^{2}$ trở lên,Diện tích từ 500 $m^{2}$ trở lên
5.3.,"Phòng bảo quản và trưng bày tác phẩm, vật phẩm giá trị của viện bảo tàng $^{3)}$",Không phụ thuộc vào diện tích,
5.4.,"Trong các nhà phục vụ mục đích văn hóa và giải trí (nhà hát, câu lạc bộ, phòng hòa nhạc, chiếu phim và hòa nhạc, tổ chức sự kiện, nhà văn hóa, rạp xiếc, trường quay,...) có sân khấu và khán phòng:",,
5.4.1.,Với sức chứa từ 700 chỗ ngồi trở lên $^{4)}$,Không phụ thuộc vào diện tích,
5.4.2.,Với sức chứa từ 400 chỗ trở lên và diện tích sân khấu từ 100 $m^{2}$ trở lên $^{4)}$,Không phụ thuộc vào diện tích,
5.4.3.,"Nhà kho để đồ trang trí, đồ dùng và đạo cụ",Diện tích từ 100 $m^{2}$ trở lên,
5.5.,Trường quay,Diện tích từ 1 000 $m^{2}$ trở lên,Diện tích từ 300 $m^{2}$ trở lên
5.6.,"Phòng lưu trữ tiền trong ngân hàng, kho bạc",Khối tích từ 100 $m^{3}$ trở lên,Không phụ thuộc vào diện tích
5.7.,"Phòng bảo quản hành lý xách tay, kho chứa vật liệu cháy được ở nhà ga (kể cả sân bay) bố trí ở các tầng:",,
5.7.1.,"Trong tầng hầm, tầng bán hàm",Không phụ thuộc vào diện tích,
5.7.2.,Tầng trên mặt đất,Diện tích từ 300 $m^{2}$ trở lên,
5.8.,"Buồng, phòng bảo quản vật liệu cháy được bố trí ở:",,
5.8.1.,Dưới khán đài công trình thể thao có mái che,Diện tích từ 100 $m^{2}$ trở lên,
5.8.2.,Trong công trình thể thao có mái che với sức chứa từ 800 chỗ trở lên,Diện tích từ 100 $m^{2}$ trở lên,
5.8.3.,Dưới khán đài công trình thể thao ngoài trời có sức chứa trên 3 000 chỗ,Diện tích từ 100 $m^{2}$ trở lên,
5.9.,Phòng máy chủ chuyên dụng,Diện tích từ 24 $m^{2}$ trở lên,
5.10.,"Gian phòng thương mại trong tòa nhà công năng khác, bố trí ở:",,
5.10.1.,"Trong tầng hàm, tầng bán hầm",Diện tích từ 200 $m^{2}$ trở lên,Không phụ thuộc vào diện tích
5.10.2.,Tầng trên mặt đất,Diện tích từ 500 $m^{2}$ trở lên,
5.11.,"Gian phòng kinh doanh chất lỏng cháy và dễ cháy (ngoại trừ hàng hóa được được chứa trong các can, bình có thể tích chứa không lớn hơn 20 lít)",Không phụ thuộc vào quy mô,
