Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"0,6","1,4","3,9","8,9","8,3","7,2","5,7","4,9","2,7","1,2","0,7","0,2","45,7"
2. Sìn Hồ,"0,6","2,1","4,8","10,5","11,5","9,0","7,1","7,7","4,1","2,1","0,5","0,2","60,3"
3. Tam Đường,"0,8","2,3","4,5","9,1","9,9","7,4","6,1","6,0","3,3","1,7","0,7","0,2","51,7"
4. Than Uyên,"0,7","2,2","5,1","10,5","11,0","11,2","9,6","8,6","4,6","2,7","0,5","0,3","67,0"
5. Lai Châu,"0,9","2,5","5,8","11,5","12,7","11,2","9,1","8,1","4,4","2,2","0,7","0,3","69,5"
6. Tuần Giáo,"0,4","1,5","3,9","9,2","8,7","7,4","6,3","6,4","3,6","1,7","0,4","0,1","49,7"
7. Pha Đin,"0,4","2,0","4,1","9,2","9,2","8,7","7,6","7,3","4,2","1,7","0,4","0,2","55,0"
8. Điện Biên,"0,5","2,1","5,2","11,4","13,0","10,3","9,1","9,6","6,5","3,1","0,5","0,2","71,5"
9. Quỳnh Nhai,"0,6","1,6","5,0","10,6","9,6","8,0","7,7","7,3","4,2","2,2","0,4","0,1","57,2"
10. Sông Mã,"0,4","1,6","4,0","10,7","12,0","11,7","9,9","9,7","6,2","2,6","0,4","0,2","69,2"
11. Cò Nòi,"0,4","1,4","4,1","11,5","13,4","12,6","11,7","11,1","5,8","2,8","0,4","0,2","75,3"
12. Yên Châu,"0,2","1,1","3,3","9,8","9,5","9,3","8,5","8,1","4,6","1,7","0,2","0,1","56,4"
13. Bắc Yên,"0,3","1,5","4,7","10,6","12,7","10,5","10,0","8,6","5,4","2,0","0,2","0,2","66,6"
14. Phù Yên,"0,2","1,2","3,5","9,0","10,0","8,2","8,1","7,3","4,7","1,6","0,4","0,1","54,1"
15. Mộc Châu,"0,3","1,0","4,1","11,3","14,4","12,4","13,1","12,4","7,0","2,6","0,5","0,1","79,2"
16. Sơn La,"0,6","1,8","4,5","11,2","12,9","12,2","11,1","10,5","6,3","2,6","0,5","0,2","74,5"
17. Kim Bôi,"0,1","0,5","2,1","6,4","13,2","14,1","13,4","11,0","6,2","2,8","0,2","0,1","70,1"
18. Mai Châu,"0,3","1,0","3,2","9,9","15,0","14,3","15,0","13,4","7,2","3,3","0,3","0,2","83,0"
19. Chi Nê,"0,2","0,8","1,6","6,2","11,0","12,7","12,6","11,4","7,4","3,1","0,3","0,1","67,3"
20. Lạc Sơn,"0,2","0,7","2,1","8,1","15,1","14,8","15,4","14,6","8,6","3,2","0,3","0,0","83,1"
21. Hoàng Su Phì,"0,2","0,7","2,7","6,9","9,1","10,9","11,6","10,4","4,6","1,8","0,6","0,1","59,4"
22. Bắc Mê,"0,3","0,8","2,7","6,5","10,3","11,4","11,5","9,7","4,9","1,8","0,5","0,2","60,7"
23. Bắc Quang,"0,3","0,9","3,3","7,7","14,1","16,1","17,6","15,4","8,5","3,6","0,6","0,3","88,2"
24. Hà Giang,"0,2","0,9","3,3","7,8","10,5","13,6","15,7","14,1","7,1","2,6","0,7","0,2","76,7"
25. Phố Ràng,"0,5","2,3","5,2","9,9","10,0","12,0","14,5","14,1","8,9","2,6","0,5","0,2","80,7"
26. Bắc Hà,"0,2","0,9","3,3","7,8","7,2","8,6","10,7","11,3","6,4","2,1","0,5","0,1","59,1"
27. Sa Pa,"0,6","2,4","5,6","11,7","10,7","9,4","8,3","8,3","3,9","1,7","0,4","0,2","63,2"
28. Mù Căng Chải,"0,6","2,3","5,2","11,4","11,7","9,9","8,4","9,4","5,1","2,4","0,6","0,2","67,1"
29. Văn Chấn,"0,3","1,5","3,8","10,6","10,0","10,3","10,3","10,5","5,9","2,3","0,3","0,1","65,8"
30. Lục Yên,"0,2","1,0","3,7","7,8","8,1","11,0","12,4","12,5","7,0","2,7","0,4","0,1","67,0"
31. Yên Bái,"0,2","1,1","3,1","8,7","9,8","11,5","12,2","12,2","7,2","3,2","0,4","0,2","69,8"
32. Hàm Yên,"0,1","1,0","3,2","7,1","9,4","11,3","12,8","12,5","6,8","2,8","0,5","0,2","67,8"
33. Tuyên Quang,"0,2","0,9","2,7","7,0","9,8","11,1","11,9","11,3","6,3","2,6","0,4","0,3","64,5"
34. Chiêm Hóa,"0,2","0,7","2,9","6,4","10,0","11,9","12,1","11,8","6,0","2,1","0,5","0,2","64,8"
35. Chợ Rã,"0,1","0,8","2,6","5,4","7,2","8,7","8,6","8,5","3,7","0,9","0,4","0,1","46,7"
36. Ngân Sơn,"0,2","0,9","2,6","6,1","8,3","11,1","11,9","10,5","5,2","1,7","0,4","0,1","59,0"
37. Bắc Kạn,"0,1","0,7","2,1","5,6","7,5","10,0","11,0","9,5","4,3","1,7","0,4","0,2","53,2"
38. Định Hoá,"0,1","0,5","2,0","5,0","8,2","9,0","10,5","9,1","4,5","1,6","0,3","0,1","50,9"
39. Thái Nguyên,"0,2","1,0","2,3","5,7","9,8","12,4","12,6","12,2","6,6","3,0","0,3","0,2","66,3"
40. Minh Đài,"0,2","1,1","3,2","8,4","12,0","12,3","12,7","11,3","6,6","3,4","0,3","0,2","71,7"
