Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"5,0","5,1","6,7","12,8","19,2","24,7","26,0","23,0","14,6","10,8","7,4","4,9","160,1"
2. Sìn Hồ,"8,1","8,2","8,8","14,5","21,1","26,0","26,9","24,6","18,4","13,4","9,3","6,8","186,0"
3. Tam Đường,"7,2","7,0","8,4","14,0","21,9","25,2","26,3","23,0","16,3","12,5","8,2","5,1","175,0"
4. Than Uyên,"6,3","6,6","8,2","14,0","19,1","22,6","25,1","22,1","14,2","9,7","6,4","4,7","159,0"
5. Lai Châu,"5,1","4,8","7,5","13,0","19,4","23,7","25,2","21,6","13,0","9,4","6,7","5,3","154,8"
6. Tuần Giáo,"4,8","4,2","6,5","13,2","17,4","21,3","23,2","21,2","13,7","8,9","5,8","3,9","144,4"
7. Pha Đin,"5,7","5,4","7,5","13,7","17,9","22,0","24,4","22,3","15,6","10,1","6,8","4,6","155,9"
8. Điện Biên,"4,6","3,8","6,2","12,5","16,6","19,6","22,6","21,0","13,3","8,1","5,3","3,7","137,2"
9. Quỳnh Nhai,"4,4","4,1","6,6","12,2","15,6","19,4","20,8","18,9","11,7","7,8","5,1","3,1","129,7"
10. Sông Mã,"3,5","3,1","5,8","11,2","15,4","18,1","20,0","19,4","11,9","7,2","4,1","2,5","122,2"
11. Cò Nòi,"3,5","3,4","5,9","12,1","16,7","17,6","21,1","20,1","12,5","7,6","4,5","2,9","127,7"
12. Yên Châu,"3,0","2,9","5,3","11,6","14,8","16,4","18,2","17,8","11,4","7,4","4,0","2,3","115,2"
13. Bắc Yên,"5,8","5,2","7,0","12,2","16,5","17,2","19,8","19,5","13,0","9,8","5,9","3,9","135,2"
14. Phù Yên,"5,5","5,1","6,7","12,4","15,4","15,8","17,7","18,5","13,5","10,4","6,2","4,3","131,6"
15. Mộc Châu,"10,9","10,9","12,5","14,9","17,9","18,3","21,0","21,1","16,3","13,3","10,1","7,9","175,5"
16. Sơn La,"4,8","4,5","6,4","12,4","16,8","18,9","21,6","19,9","13,2","7,8","4,5","3,6","134,3"
17. Kim Bôi,"11,5","13,0","16,2","15,9","17,6","18,1","19,2","18,9","15,2","11,9","8,4","7,2","173,3"
18. Mai Châu,"3,2","3,0","5,4","11,0","16,4","17,2","18,8","18,6","14,2","10,9","5,5","2,8","127,1"
19. Chi Nê,"7,5","9,5","12,7","11,7","13,7","14,4","15,9","16,8","13,7","10,8","6,4","4,6","139,1"
20. Lạc Sơn,"10,5","12,0","14,7","14,5","16,7","16,8","18,1","18,5","15,2","11,5","7,8","6,7","162,9"
21. Hoà Bình,"8,6","9,2","11,5","14,0","18,1","18,2","18,9","18,4","14,2","11,5","7,4","5,8","155,9"
22. Hoàng Su Phì,"6,1","5,6","6,6","10,8","15,5","19,2","22,5","21,3","14,8","12,1","8,0","5,0","147,9"
23. Bắc Mê,"7,8","7,0","8,6","11,9","16,9","19,8","22,1","19,1","12,8","10,7","8,7","5,9","150,9"
24. Bắc Quang,"14,6","14,4","15,6","18,4","21,9","22,6","24,8","22,4","16,7","14,8","12,6","11,4","210,1"
25. Hà Giang,"11,4","10,4","12,0","14,8","17,9","20,8","24,1","21,5","15,6","13,5","10,1","8,3","180,3"
26. Phố Ràng,"9,0","9,3","11,5","14,3","16,1","15,7","18,2","18,7","14,4","10,7","8,0","5,9","151,6"
27. Bắc Hà,"10,7","10,1","10,4","13,2","15,0","17,4","21,1","22,2","17,1","13,2","9,6","7,8","168,5"
28. Sa Pa,"16,3","16,3","15,7","17,9","22,2","24,4","25,6","23,4","19,8","18,6","13,8","13,5","228,1"
29. Mù Căng Chải,"4,9","5,3","7,6","13,7","18,9","24,2","26,1","23,0","15,1","10,4","5,6","4,0","159,4"
30. Văn Chấn,"6,0","7,4","9,3","13,9","15,9","16,7","17,5","19,0","14,5","11,6","6,9","4,4","143,3"
31. Lục Yên,"12,2","13,0","16,4","17,5","15,0","16,0","19,2","19,2","14,1","11,8","8,7","7,6","170,9"
32. Yên Bái,"14,4","16,4","20,7","20,3","16,5","16,3","18,5","18,2","14,2","11,6","9,1","9,3","185,9"
33. Hàm Yên,"11,9","12,9","15,8","15,9","15,2","16,7","19,3","19,2","13,8","10,8","8,5","7,5","167,7"
34. Tuyên Quang,"10,6","11,2","14,9","14,6","15,0","15,9","17,8","18,0","12,8","10,5","7,5","6,8","155,5"
35. Chiêm Hóa,"11,3","11,4","13,8","14,7","15,5","17,1","19,5","19,1","13,4","10,7","8,9","7,9","163,4"
36. Chợ Rã,"7,2","7,1","9,2","11,4","14,9","17,9","19,4","18,8","13,6","10,1","8,3","5,8","143,7"
37. Ngân Sơn,"11,1","11,7","14,3","14,2","15,3","18,4","20,7","19,1","13,5","10,2","8,4","7,5","164,3"
38. Bắc Kạn,"8,7","9,4","13,1","13,6","15,0","17,0","19,3","18,8","12,9","9,1","7,3","6,0","150,2"
39. Định Hoá,"9,3","11,3","17,0","16,7","15,4","16,6","18,8","18,7","13,1","9,7","6,7","6,0","159,5"
40. Thái Nguyên,"10,1","12,0","17,7","16,7","15,1","16,3","18,0","18,1","13,2","9,8","7,2","6,1","160,0"
41. Minh Đài,"12,8","13,9","16,6","16,1","16,3","15,7","17,5","17,8","13,4","11,1","8,0","8,2","169,7"
