Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"6,3","5,7","4,8","5,7","7,2","8,7","8,7","8,2","7,3","7,2","6,6","6,1","6,9"
2. Sìn Hồ,"5,6","5,3","4,8","5,6","7,3","8,7","8,7","8,0","7,0","6,6","6,3","5,6","6,6"
3. Tam Đường,"5,9","5,7","5,0","5,6","7,3","8,7","8,7","8,0","6,8","6,3","6,1","5,4","6,6"
4. Than Uyên,"6,2","6,0","5,3","5,8","7,3","8,6","8,5","8,0","6,6","6,2","5,9","5,6","6,7"
5. Lai Châu,"6,8","6,2","5,2","5,8","7,5","8,9","9,0","8,6","7,6","7,3","7,1","6,9","7,2"
6. Tuần Giáo,"6,4","6,2","5,5","6,0","7,0","8,4","8,6","8,2","7,3","7,0","6,7","6,4","7,0"
7. Pha Đin,"5,6","5,2","4,6","5,4","7,2","8,7","8,8","8,4","6,9","6,4","5,9","5,3","6,6"
8. Điện Biên,"5,3","5,3","4,6","5,5","7,2","8,5","8,8","8,6","7,3","6,4","5,8","5,3","6,5"
9. Quỳnh Nhai,"6,8","6,6","5,8","5,8","7,0","8,4","8,5","8,0","6,9","6,7","6,6","6,3","6,9"
10. Sông Mã,"6,6","6,4","5,6","5,6","7,0","8,4","8,5","8,3","7,3","6,8","6,6","6,2","7,0"
11. Cò Nòi,"6,4","6,3","5,6","6,1","7,2","8,5","8,5","8,2","6,8","6,3","6,0","5,7","6,8"
12. Yên Châu,"6,8","6,9","6,6","6,7","7,6","8,4","8,6","8,4","7,5","7,0","6,6","6,4","7,3"
13. Bắc Yên,"7,0","7,0","6,6","6,4","6,8","7,6","7,7","7,4","6,3","6,2","6,0","5,7","6,7"
14. Phù Yên,"7,9","8,1","7,7","7,3","7,3","8,0","7,8","7,8","7,0","7,0","6,9","6,8","7,5"
15. Mộc Châu,"6,9","7,1","6,8","6,7","7,2","8,1","8,0","7,9","7,1","6,8","6,4","6,0","7,1"
16. Sơn La,"6,4","6,6","6,1","6,4","7,5","8,7","8,7","8,5","7,3","6,6","6,2","5,7","7,1"
17. Kim Bôi,"7,9","8,7","8,8","8,2","7,3","7,7","7,3","7,3","6,2","6,2","6,2","6,4","7,4"
18. Mai Châu,"7,8","8,2","7,9","7,6","7,6","8,3","8,1","8,0","7,3","7,1","7,1","6,9","7,7"
19. Chi Nê,"8,2","8,8","8,9","8,2","7,2","7,2","6,9","7,0","6,0","6,1","6,1","6,2","7,2"
