"Tỉnh, thành phố trực thuộc Trung ương","Thành phố, quận, huyện (hoặc tương đương)",Trạm,Kinh độ,Vĩ độ,Cao độ (m)
16. Quảng Ninh,Cô Tô,Cô Tô,"107,77","20,98",70
16. Quảng Ninh,TP. Hạ Long,Bãi Cháy,"107,07","20,97",87
16. Quảng Ninh,Cẩm Phả,Cửa Ông,"107,35","21,02",60
16. Quảng Ninh,Tiên Yên,Tiên Yên,"107,40","21,33",14
16. Quảng Ninh,Hải Ninh,Móng Cái,"107,97","21,52",7
16. Quảng Ninh,Quảng Hà,Quảng Hà,"107,75","21,45",6
17. Hải Phòng,Kiến An,Phù Liễn,"106,63","20,80",113
17. Hải Phòng,Đồ Sơn,Hòn Dấu,"106,80","20,67",38
17. Hải Phòng,Bạch Long Vĩ,Bạch Long Vĩ,"107,72","20,13",63
Khu vực Đồng bằng Bắc Bộ,,,,,
18. Hà Nội,Ba Vì,Ba Vì,"105,42","21,15",20
18. Hà Nội,Hà Đông,Hà Đông,"105,75","20,97",5
18. Hà Nội,TX. Sơn Tây,Sơn Tây,"105,50","21,13",7
18. Hà Nội,Đống Đa,Láng,"105,80","21,03",5
19. Hải Dương,Chí Linh,Chí Linh,"106,38","21,08",30
19. Hải Dương,TP. Hải Dương,Hải Dương,"106,30","20,93",2
20. Hưng Yên,TP. Hưng Yên,Hưng Yên,"106,05","20,65",4
21. Nam Định,TP. Nam Định,Nam Định,"106,15","20,40",3
21. Nam Định,Hải Hậu,Văn Lý,"106,30","20,12",3
22. Thái Bình,Kiến Xương,Thái Bình,"106,35","20,45",3
23. Hà Nam,TP. Phủ Lý,Hà Nam,"105,92","20,55",3
24. Ninh Bình,TP. Ninh Bình,Ninh Bình,"105,97","20,23",2
24. Ninh Bình,Hoàng Long,Nho Quan,"105,73","20,33",12
Khu vực Bắc Trung Bộ,,,,,
25. Thanh Hoá,Yên Định,Yên Định,"105,67","19,98",9
25. Thanh Hoá,Thọ Xuân,Bái Thượng,"105,38","19,90",21
25. Thanh Hoá,Như Thanh,Như Xuân,"105,57","19,63",10
25. Thanh Hoá,TX. Nghi Sơn,Tĩnh Gia,"105,78","19,45",5
25. Thanh Hoá,Quảng Xương,Thanh Hoá,"105,78","19,75",5
25. Thanh Hoá,Quan Hoá,Hồi Xuân,"105,12","20,37",87
26. Nghệ An,Quỳ Châu,Quỳ Châu,"105,12","19,57",87
26. Nghệ An,Quỳ Hợp,Quỳ Hợp,"105,15","19,32",88
26. Nghệ An,Nghĩa Đàn,Tây Hiếu,"105,40","19,32",72
26. Nghệ An,Quỳnh Lưu,Quỳnh Lưu,"105,63","19,17",3
26. Nghệ An,Con Cuông,Con Cuông,"104,88","19,05",27
26. Nghệ An,Đô Lương,Đô Lương,"105,30","18,90",4
26. Nghệ An,Tương Dương,Tương Dương,"104,43","18,90",97
26. Nghệ An,TP. Vinh,Vinh,"105,70","18,67",6
27. Hà Tĩnh,Hương Khê,Hương Khê,"105,72","18,18",10
27. Hà Tĩnh,Kỳ Anh,Kỳ Anh,"106,28","18,08",3
27. Hà Tĩnh,TP. Hà Tĩnh,Hà Tĩnh,"105,90","18,35",3
28. Quảng Bình,Tuyên Hoá,Tuyên Hoá,"106,02","17,88",25
28. Quảng Bình,Quảng Trạch,Ba Đồn,"106,42","17,75",8
28. Quảng Bình,TP. Đồng Hới,Đồng Hới,"106,60","17,48",7
29. Quảng Trị,Vĩnh Linh,Cồn Cỏ,"107,33","17,17",6
29. Quảng Trị,TP. Đông Hà,Đông Hà,"107,08","16,85",4
29. Quảng Trị,Hướng Hoá,Khe Sanh,"106,73","16,63",367
30. Thừa Thiên Huế,A Lưới,A Lưới,"107,28","16,22",600
30. Thừa Thiên Huế,Nam Đông,Nam Đông,"107,72","16,17",15
30. Thừa Thiên Huế,Huế,Huế,"107,58","16,43",17
Khu vực Nam Trung Bộ,,,,,
31. Đà Nẵng,TP. Đà Nẵng,Đà Nẵng,"108,20","16,03",6
32. Quảng Nam,TP. Tam Kỳ,Tam Kỳ,"108,47","15,57",5
32. Quảng Nam,Trà My,Trà My,"108,25","15,33",3
33. Quảng Ngãi,Ba Tơ,Ba Tơ,"108,73","14,77",5
33. Quảng Ngãi,TP. Quảng Ngãi,Quảng Ngãi,"108,80","15,12",8
33. Quảng Ngãi,Lý Sơn,Lý Sơn,"109,15","15,38",12
34. Bình Định,Hoài Nhơn,Hoài Nhơn,"109,03","14,52",6
34. Bình Định,TP. Quy Nhơn,Quy Nhơn,"109,22","13,77",5
35. Phú Yên,Tây Sơn,Sơn Hoà,"108,98","13,05",5
35. Phú Yên,TP. Tuy Hoà,Tuy Hoà,"109,28","13,08",12
36. Khánh Hoà,TP. Nha Trang,Nha Trang,"109,20","12,22",5
36. Khánh Hoà,Cam Ranh,Cam Ranh,"109,15","11,92",7
36. Khánh Hoà,Trường Sa,Trường Sa,"111,92","8,65",2
37. Ninh Thuận,TP. Phan Rang,Phan Rang,"108,98","11,58",6
38. Bình Thuận,TP. Phan Thiết,Phan Thiết,"108,10","10,93",9
38. Bình Thuận,Hàm Tân,La Gi,"107,77","10,68",5
38. Bình Thuận,Phú Quý,Phú Quý,"108,93","10,52",5
Khu vực Tây Nguyên,,,,,
39. Kon Tum,Đắc Tô,Đắc Tô,"107,83","14,65",500
39. Kon Tum,Kon Tum,Kon Tum,"108,00","14,33",536
40. Gia Lai,TP. PlêiKu,PlêiKu,"108,02","13,97",800
40. Gia Lai,An Khê,An Khê,"108,65","13,95",150
40. Gia Lai,Ayunpa,Ayunpa,"108,45","13,38",27
41. Đắc Lắc,M' Ěrak,M' Ěrak,"108,77","12,73",478
41. Đắc Lắc,TP. Buôn Ma Thuột,Buôn Ma Thuột,"108,05","12,67",490
41. Đắc Lắc,Krông Buk,Buôn Hồ,"108,27","12,92",700
42. Đắc Nông,Đắc Nông,Đắc Nông,"107,68","12,00",660
43. Lâm Đồng,Đức Trọng,Liên Khương,"108,38","11,75",961
43. Lâm Đồng,TP. Đà Lạt,Đà Lạt,"108,45","11,95",1513
43. Lâm Đồng,Bảo Lộc,Bảo Lộc,"107,82","11,53",850
Khu vực Nam Bộ,,,,,
44. Bình Phước,Đồng Phú,Đồng Xoài,"106,90","11,53",82
44. Bình Phước,Phước Long,Phước Long,"106,98","11,83",245
45. Tây Ninh,TP. Tây Ninh,Tây Ninh,"106,12","11,33",10
46. Bà Rịa Vũng Tàu,TP. Vũng Tàu,Vũng Tàu,"107,08","10,37",4
46. Bà Rịa Vũng Tàu,Côn Đảo,Côn Đảo,"106,60","8,68",7
47. TP. Hồ Chí Minh,Tân Bình,Tân Sơn Hoà,"106,67","10,80",5
48.Long An,Mộc Hoá,Mộc Hoá,"105,93","10,78",3
49. Tiền Giang,TP. Mỹ Tho,Mỹ Tho,"106,40","10,35",2
50. Đồng Tháp,TP. Cao Lãnh,Cao Lãnh,"105,63","10,47",2
51. Bến Tre,Ba Tri,Ba Tri,"106,60","10,05",12
52. Trà Vinh,Càng Long,Càng Long,"106,20","9,98",2
53. An Giang,TP. Châu Đốc,Châu Đốc,"105,13","10,70",5
54. Cần Thơ,TP. Cần Thơ,Cần Thơ,"105,77","10,03",3
55. Sóc Trăng,TP. Sóc Trăng,Sóc Trăng,"105,97","9,60",3
56. Kiên Giang,TP. Rạch Giá,Rạch Giá,"105,07","10,00",2
56. Kiên Giang,TP. Phú Quốc,Phú Quốc,"103,97","10,22",2
57. Bạc Liêu,TP. Bạc Liêu,Bạc Liêu,"105,72","9,28",2
58. Cà Mau,TP. Cà Mau,Cà Mau,"105,15","9,18",3
59. Vĩnh Long,TP. Vĩnh Long,Vĩnh Long,"105,58","10,25",3
