Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"56,6","50,9","47,5","48,7","56,8","65,9","68,9","65,7","61,6","59,6","59,6","58,3","58,9"
2. Sìn Hồ,"68,1","62,8","55,7","58,7","68,9","76,5","77,5","74,7","72,2","71,9","71,1","68,1","68,9"
3. Tam Đường,"60,4","56,0","51,1","54,6","62,9","72,3","74,5","69,7","66,1","63,1","60,2","56,9","62,4"
4. Than Uyên,"58,8","57,4","54,1","54,8","59,2","66,5","68,1","65,7","60,3","58,6","57,3","56,2","59,8"
5. Lai Châu,"57,6","51,6","48,0","50,1","57,0","66,7","68,9","66,0","60,6","59,9","59,9","59,5","58,8"
6. Tuần Giáo,"56,1","51,6","47,5","49,9","56,7","64,7","67,1","66,5","61,1","58,5","56,6","54,2","57,5"
7. Pha Đin,"66,3","60,9","54,6","58,8","67,4","77,2","80,0","78,2","72,4","71,3","68,7","66,2","68,6"
8. Điện Biên,"56,9","53,1","50,5","54,3","57,6","64,6","68,2","68,4","63,7","59,0","56,1","56,4","59,2"
9. Quỳnh Nhai,"59,3","56,6","55,2","55,5","59,0","65,8","68,0","66,1","63,1","59,5","58,4","56,9","60,3"
10. Sông Mã,"56,1","52,8","48,7","49,9","55,6","64,9","67,7","67,8","62,8","59,8","57,4","56,5","58,4"
11. Cò Nòi,"78,9","75,4","72,3","74,2","77,9","83,8","86,0","86,7","84,0","81,6","79,4","78,6","79,9"
12. Yên Châu,"53,8","52,5","49,7","49,7","51,8","59,2","61,4","63,0","60,2","57,3","54,4","52,1","55,4"
13. Bắc Yên,"64,4","61,3","57,4","56,5","60,2","65,6","67,3","68,0","66,2","64,5","61,2","58,4","62,7"
14. Phù Yên,"62,0","61,8","60,8","59,3","56,8","59,9","60,3","62,6","61,4","59,4","57,5","56,9","59,9"
15. Mộc Châu,"67,9","68,2","62,9","61,5","62,5","68,4","69,2","71,2","70,4","69,0","67,0","65,4","66,8"
16. Sơn La,"56,4","53,1","48,9","50,7","56,6","64,4","67,0","66,9","63,4","60,6","57,9","55,0","58,4"
17. Kim Bôi,"67,6","71,0","72,0","69,7","64,7","65,2","65,0","67,7","66,3","63,5","60,7","60,6","66,2"
18. Mai Châu,"62,2","62,6","61,3","59,7","57,2","60,3","61,1","64,7","63,8","60,4","59,2","58,1","60,9"
19. Chi Nê,"69,1","71,8","73,9","71,6","64,7","64,8","65,5","68,9","67,8","64,5","62,0","60,4","67,1"
20. Lạc Sơn,"67,9","70,5","71,5","68,5","62,2","64,1","64,0","67,9","66,8","64,2","61,2","61,5","65,9"
21. Hoà Bình,"66,1","68,7","68,8","66,6","62,0","63,6","64,1","66,1","64,7","63,0","61,0","60,6","64,6"
22. Hoàng Su Phì,"61,1","59,9","57,1","56,5","57,0","61,1","63,5","61,8","59,4","59,4","57,1","57,6","59,2"
23. Bắc Mê,"61,1","60,2","58,3","57,7","57,1","61,3","63,2","60,8","57,7","58,6","56,4","55,5","59,0"
24. Bắc Quang,"69,5","69,9","68,3","67,5","63,3","65,6","66,0","64,5","61,5","62,3","61,7","62,6","65,2"
25. Hà Giang,"66,3","67,0","65,8","64,7","61,6","65,3","66,9","64,5","60,4","60,4","59,5","60,8","63,6"
26. Phố Ràng,"71,6","71,0","69,1","68,6","66,2","67,0","68,8","69,0","67,8","67,5","65,8","64,6","68,0"
27. Bắc Hà,"72,5","73,1","69,6","68,1","67,0","69,3","70,4","69,8","68,4","69,0","68,3","68,3","69,5"
28. Sa Pa,"77,0","75,1","67,5","66,3","72,2","76,0","76,9","76,9","78,5","80,5","78,9","75,0","75,2"
29. Mù Căng Chải,"56,2","53,6","49,2","50,3","57,9","66,8","68,8","67,2","61,6","59,2","57,1","54,8","58,7"
30. Văn Chấn,"65,2","66,0","65,6","66,3","63,0","64,4","65,7","67,0","65,1","63,5","61,3","61,1","64,6"
31. Lục Yên,"70,2","71,7","71,7","71,1","65,2","66,7","67,9","67,7","65,5","65,0","63,7","63,8","67,7"
32. Yên Bái,"71,7","73,9","75,1","74,0","66,8","67,3","68,4","67,5","65,0","64,5","63,3","64,6","68,6"
33. Hàm Yên,"67,5","69,4","70,1","69,4","63,6","65,6","66,7","66,3","62,9","62,0","60,6","60,9","65,4"
34. Tuyên Quang,"66,4","68,2","69,5","68,3","62,9","64,5","66,1","66,8","63,3","61,6","59,5","59,3","64,7"
35. Chiêm Hóa,"65,6","66,8","66,8","65,5","61,0","63,7","65,5","65,8","61,5","60,5","59,3","59,0","63,4"
36. Chợ Rã,"62,1","62,5","63,4","62,6","60,1","63,1","64,7","63,2","60,1","60,1","58,0","56,6","61,4"
37. Ngân Sơn,"64,5","67,2","67,9","67,2","63,8","65,4","67,0","64,6","60,7","59,9","58,0","57,7","63,6"
38. Bắc Kạn,"64,0","65,7","67,9","66,9","62,6","64,4","66,6","65,4","61,0","59,0","57,5","57,5","63,2"
39. Định Hoá,"64,2","67,0","70,5","69,9","64,2","65,7","67,5","65,8","61,3","59,8","57,5","57,0","64,2"
40. Thái Nguyên,"63,1","67,0","71,4","70,9","63,7","64,6","65,9","66,2","61,1","58,2","56,2","56,2","63,7"
41. Minh Đài,"71,1","71,7","71,9","70,5","65,7","65,1","65,7","67,1","65,0","63,0","60,8","61,0","66,4"
42. Phú Hộ,"70,2","72,2","73,3","71,5","64,9","65,1","65,6","66,7","63,5","61,8","60,0","61,6","66,3"
43. Việt Trì,"69,0","71,4","72,8","72,0","65,1","65,8","66,6","68,0","64,9","63,4","61,6","61,9","66,9"
44. Tam Đảo,"79,3","82,2","81,9","78,9","74,7","75,8","76,7","77,3","73,2","70,6","68,5","70,3","75,8"
45. Vĩnh Yên,"65,0","68,4","71,2","70,7","63,9","64,3","65,0","67,5","63,5","60,6","59,1","59,0","65,0"
46. Bảo Lạc,"58,0","58,1","55,9","55,2","56,0","59,7","61,9","61,1","58,0","58,3","56,4","55,4","57,8"
47. Nguyên Bình,"66,3","67,5","66,0","64,2","62,2","65,2","66,7","65,5","61,6","60,4","59,1","59,4","63,8"
48. Trùng Khánh,"64,9","67,0","67,4","66,8","64,2","66,1","66,6","65,1","61,1","59,7","57,3","57,0","63,6"
49. Cao Bằng,"61,6","62,8","62,7","61,8","60,0","63,1","64,6","63,7","58,8","58,2","57,3","55,9","60,9"
50. Bắc Sơn,"65,1","69,4","72,5","70,8","64,9","65,4","66,0","65,7","60,9","59,2","58,2","57,7","64,7"
51. Hữu Lũng,"60,0","64,1","68,5","67,9","62,0","63,6","65,2","66,4","61,0","57,2","53,5","53,6","62,1"
52. Đình Lập,"61,4","66,2","69,8","68,7","64,0","66,1","66,5","66,5","62,5","57,3","53,5","53,2","63,0"
53. Thất Khê,"64,7","68,8","70,6","68,7","63,8","66,0","66,5","66,1","62,4","60,4","58,8","58,4","64,7"
54. Lạng Sơn,"62,7","68,1","69,5","67,8","63,1","64,3","64,2","65,3","62,0","59,0","56,4","54,9","63,2"
55. Lục Ngạn,"60,5","64,1","67,1","65,6","61,2","62,9","63,9","65,7","61,0","57,8","55,4","54,1","61,6"
56. Sơn Động,"57,3","62,2","65,3","64,2","58,3","61,0","61,7","63,3","59,3","55,1","51,1","51,0","59,1"
57. Bắc Giang,"64,0","68,9","73,3","73,3","66,7","66,3","66,8","68,8","64,4","61,5","57,7","58,1","65,7"
58. Hiệp Hòa,"67,1","70,5","75,3","75,5","67,8","66,5","68,0","69,5","64,8","61,5","57,9","57,8","66,9"
59. Uông Bí,"63,6","69,1","74,2","73,7","68,2","67,9","68,5","69,9","64,2","58,9","53,6","55,2","65,6"
60. Cô Tô,"72,1","78,0","79,9","79,0","76,9","77,2","75,9","75,8","71,5","67,5","64,9","66,6","73,8"
