Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"17,9","15,0","15,2","7,3","1,3","0,1","0,2","0,6","2,4","5,0","12,5","18,4","95,9"
2. Sìn Hồ,"10,6","8,2","6,1","3,5","1,2","0,5","0,2","0,3","0,7","1,7","3,9","6,2","43,1"
3. Tam Đường,"3,6","2,2","1,3","0,3","0,2","0,1","0,1","0,5","0,7","0,7","0,7","1,0","11,4"
4. Than Uyên,"5,7","2,8","2,2","1,6","0,4","0,2","0,5","2,0","2,6","2,5","4,8","6,1","31,3"
5. Lai Châu,"8,6","4,9","2,7","0,6","0,0","0,0","0,0","0,2","0,2","0,6","3,5","9,7","31,0"
6. Tuần Giáo,"14,0","8,9","7,9","4,5","1,6","0,7","0,8","2,4","7,6","11,2","14,3","16,2","90,2"
7. Pha Đin,"7,2","6,5","5,7","2,8","1,9","2,6","3,6","4,7","1,8","2,7","4,3","5,6","49,3"
8. Điện Biên,"15,4","10,0","7,8","4,2","1,4","0,1","0,2","0,5","4,5","12,1","15,6","17,8","89,4"
9. Quỳnh Nhai,"9,8","5,7","4,5","2,3","0,5","0,4","0,4","1,4","3,7","5,7","9,6","11,7","55,7"
10. Sông Mã,"8,0","5,3","3,9","2,3","1,4","0,5","0,7","1,2","2,8","5,8","9,3","10,7","51,6"
11. Cò Nòi,"2,7","1,8","1,9","1,0","1,3","1,6","2,7","4,2","2,8","1,9","2,3","3,0","27,2"
12. Yên Châu,"7,1","2,6","2,1","3,5","3,4","2,9","4,1","7,4","12,0","14,2","12,2","12,1","83,7"
13. Bắc Yên,"4,0","2,9","2,9","2,5","4,0","4,6","6,8","6,9","3,9","2,9","1,9","2,1","45,3"
14. Phù Yên,"2,2","0,3","0,1","0,1","0,0","0,0","0,0","0,1","1,3","3,0","4,0","4,3","15,4"
15. Mộc Châu,"14,8","15,3","14,8","9,4","2,9","1,0","1,4","2,0","2,2","3,2","5,5","9,4","81,7"
16. Sơn La,"2,4","1,8","1,7","1,9","2,2","2,3","1,8","4,5","7,4","4,4","2,8","2,2","35,4"
17. Kim Bôi,"1,0","0,5","0,6","0,5","0,1","0,0","0,3","0,3","0,8","0,8","1,1","1,3","7,3"
18. Mai Châu,"2,2","0,4","0,2","0,3","0,0","0,0","0,0","0,4","2,6","5,0","5,5","5,0","21,7"
19. Chi Nê,"0,8","0,7","0,6","0,5","0,2","0,2","0,3","0,5","0,9","1,0","1,2","1,8","8,7"
20. Lạc Sơn,"2,8","1,4","1,5","1,0","0,7","0,9","1,5","3,3","5,4","4,6","5,0","6,0","34,1"
21. Hoà Bình,x,x,x,x,x,x,x,x,x,x,x,x,x
22. Hoàng Su Phì,"1,7","0,7","0,2","0,1","0,1","0,1","0,2","1,1","2,7","4,1","5,4","5,6","22,0"
23. Bắc Mê,"5,2","3,3","2,2","1,7","1,4","1,6","1,9","3,9","5,8","6,9","9,3","10,1","53,0"
24. Bắc Quang,"3,2","0,9","0,7","0,4","0,3","0,5","0,3","1,0","2,6","4,1","6,4","6,7","27,0"
25. Hà Giang,"3,1","1,5","0,7","0,4","0,2","0,6","0,9","1,3","2,2","3,5","4,6","6,4","25,4"
26. Phố Ràng,"4,5","2,4","1,4","1,2","1,2","1,4","1,1","3,5","8,1","8,0","11,4","13,0","57,3"
27. Bắc Hà,"4,1","2,6","2,9","1,4","0,2","0,2","0,1","0,3","0,5","0,8","1,5","3,6","18,0"
28. Sa Pa,"17,4","16,9","15,3","10,8","5,6","3,0","1,4","1,9","2,8","7,8","11,3","13,3","107,5"
29. Mù Căng Chải,"2,9","2,5","1,7","0,2","0,0","0,0","0,0","0,1","0,1","0,1","0,1","1,1","8,5"
30. Văn Chấn,"3,0","0,8","0,4","0,3","0,0","0,1","0,1","0,5","2,2","4,5","6,1","6,4","24,4"
31. Lục Yên,"4,0","1,7","1,1","1,2","1,4","2,1","2,4","3,4","4,7","6,0","7,0","8,2","43,0"
32. Yên Bái,"2,9","1,2","1,9","1,0","0,3","0,2","0,3","0,7","1,0","1,7","3,2","4,8","19,1"
33. Hàm Yên,"3,8","1,9","1,2","1,0","1,0","1,5","1,6","3,6","6,8","7,6","8,1","7,7","45,8"
34. Tuyên Quang,"2,3","0,7","0,5","0,4","0,1","0,1","0,6","1,1","1,8","3,0","4,9","5,3","20,7"
35. Chiêm Hóa,"5,7","2,8","2,5","1,5","1,7","2,4","2,7","4,3","6,1","8,3","9,9","10,0","58,0"
36. Chợ Rã,"6,6","3,8","2,4","2,3","2,2","2,9","3,5","4,7","9,0","10,9","13,4","13,3","74,9"
37. Ngân Sơn,"0,6","0,6","0,5","0,4","0,3","0,6","1,6","3,7","3,6","2,0","1,4","1,0","16,3"
38. Bắc Kạn,"5,7","2,4","2,0","1,4","1,7","2,3","3,1","5,9","10,6","11,7","11,9","10,9","69,5"
39. Định Hoá,"1,9","0,6","0,5","0,4","0,2","0,2","0,2","1,1","2,7","3,9","3,5","3,5","18,8"
