"Tỉnh, thành phố trực thuộc Trung ương",TP/Huyện/Thị xã (hoặc tương đương),Sông,Thời gian bắt đầu
Yên Bái,Văn Chấn,-,28/6/1998
Yên Bái,Văn Chấn,-,28/8/1998
Yên Bái,Văn Chấn,-,31/8/1999
Yên Bái,Văn Yên,-,14/8/2010
Yên Bái,Văn Yên,-,14/8/2011
Yên Bái,Yên Bình,-,5/10/1997
Yên Bái,Yên Bình,-,24/8/2007
Yên Bái,Yên Bình,-,11/7/2005
Bắc Kạn,Chợ Đồn,-,13/04/2008
Bắc Kạn,Na Rì,-,13/04/2008
Lào Cai,Bát Xát,Ngòi Phát,30/05/2008
Hà Giang,Hoàng Su Phì,-,20/06/2008
Lai Châu,TX. Mường Lay,-,30/06/2008
Lào Cai,Văn Bàn,Nậm Tu,30/06-04/07/2008
Lào Cai,TP. Sa Pa,-,30/06-04/07/2008
Lào Cai,Bắc Hà,-,30/06-04/07/2008
Sơn La,Sốp Cộp,-,07/07/2008
Lạng Sơn,Hữu Lũng,-,11/7-16/7/2008
Lai Châu,Mường Tè,Nậm Thọ,11/7-12/7/2008
Sơn La,Thuận Châu,-,12/07/2008
Sơn La,Mường La,-,13/07/2008
Hà Giang,Đồng Văn,-,15/07/2008
Sơn La,Thuận Châu,-,17/07/2008
Lào Cai,TP. Sa Pa,-,23/07/2008
Lào Cai,Bảo Thắng,-,24/07/2008
Lào Cai,Bắc Hà,-,25/07/2008
Lào Cai,Bảo Yên,-,04/08/2008
Điện Biên,TP. Điện Biên Phủ,-,04/08/2008
Kon Tum,TP. Kon Tum,-,07/08/2008
Hà Giang,"Bắc Quang, Vị Xuyên, Hoàng Su Phì",-,8-9/7/2008
Tuyên Quang,Hàm Yên,-,8-9/7/2008
Lào Cai,TP. Sa Pa,-,08/08/2008
Phú Thọ,Hạ Hòa,-,08/08/2008
Lào Cai,Bảo Yên,-,8/8-9/8/2008
Yên Bái,"Lục Yên, Yên Bình, Vân Yên, TP. Yên Bái, Trấn Yên",-,8/8-9/8/2008
Yên Bái,Yên Bình,-,8/8-9/8/2008
Lào Cai,Bát Xát,-,09/08/2008
Lạng Sơn,Văn Lang,-,09/08/2008
Bắc Kạn,Ba Bể,-,12/8-13/8/2008
Hà Giang,Vị Xuyên,-,28/08/2008
Lào Cai,-,Cam Đường,31/08/2008
Bình Thuận,Tánh Linh,Cầu Mi,8/9-9/9/2008
Đồng Nai,"Long Khánh, TX. Long Khánh",-,09/09/2008
Sơn La,Bắc Yên,-,24/9-26/9/2008
Yên Bái,Lục Yên,-,22/10-23/10/2008
Hà Giang,"Quang Bình, Bắc Quang",-,23/10/2008
Sơn La,"Sông Mã, Thuận Châu, Quỳnh Nhai, Bắc Yên",-,26/3-17/4/2009
Thanh Hóa,Thạch Thành,-,14/05/2009
Nghệ An,Tương Dương,-,26/05/2009
Hà Giang,Xín Mần,-,26/04/2010
Thanh Hóa,Mường Lát,-,24/04/2010
Sơn La,Sông Mã,-,23/05/2010
Nghệ An,Tương Dương,-,20/06/2010
Yên Bái,Lục Yên,-,22/07/2010
Hà Giang,Yên Minh,-,24/07/2010
Bắc Kạn,Ba Bể,"Suối Khuổi Siến, Nà Ngàn",31/07/2010
Lào Cai,Bát Xát,-,02/08/2010
Lào Cai,TP. Sa Pa,-,04/08/2010
Yên Bái,Văn Yên,-,14/08/2010
Sơn La,Thuận Châu,-,13/08/2010
Lào Cai,Bảo Yên,Nghĩa Đô,05/09/2010
Bình Thuận,Bắc Bình,-,23/10/2010
Quảng Ngãi,-,04/10/2010
Lào Cai,TP. Lào Cai,Ngàn,12/05/2011
Nghệ An,"TT. Mường Xén, Kỳ Sơn, Tương Dương",Nậm Mộ,24-25/06/2011
Nghệ An,Kỳ Sơn,-,24/08/2011
Lào Cai,TP. Lào Cai,-,04/09/2011
Lào Cai,TP. Lào Cai,-,08/09/2011
Lào Cai,Bắc Hà,-,31/12/2012
Vĩnh Phúc,Lập Thạch,-,12/11/2015
Sơn La,Thuận Châu,-,30/05/2016
Sơn La,Bắc Yên,-,29/05/2016
Thái Nguyên,Định Hóa,-,01/07/2016
Bình Thuận,Tuy Phong,Tân Lê,07/09/2016
Lào Cai,"Bát Xát, TP. Sa Pa",-,05/08/2016
Bình Thuận,Đức Linh,-,02/10/2017
