Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"29,2","27,8","50,1","127,6","264,1","462,2","611,5","440,9","195,0","106,0","65,9","30,4","2412,9"
2. Sìn Hồ,"44,5","42,1","76,6","186,9","320,0","501,9","602,6","450,4","247,6","141,6","80,5","44,1","2738,7"
3. Tam Đường,"40,1","39,0","81,2","185,1","340,4","472,5","545,2","340,0","186,2","131,9","75,3","35,1","2469,0"
4. Than Uyên,"32,1","36,3","63,5","150,6","237,7","386,4","422,9","344,9","145,5","66,6","45,0","26,8","1958,5"
5. Lai Châu,"31,4","33,2","62,3","137,7","276,8","426,7","478,7","363,5","150,8","86,1","52,4","27,2","2126,6"
6. Tuần Giáo,"26,7","25,9","58,7","135,6","216,8","286,3","316,7","276,3","137,8","65,8","40,5","25,7","1612,9"
7. Pha Đin,"26,0","30,3","64,1","133,8","222,9","305,3","359,6","324,8","168,6","71,7","44,1","26,0","1784,3"
8. Điện Biên,"26,9","26,4","55,6","115,1","182,5","253,5","314,6","316,6","150,7","59,4","32,5","26,1","1573,5"
9. Quỳnh Nhai,"30,7","28,4","58,8","133,8","205,6","291,7","356,1","314,2","153,0","75,7","42,6","25,0","1717,1"
10. Sông Mã,"18,1","16,5","37,9","100,5","147,2","199,3","225,6","229,6","115,9","39,0","25,1","14,6","1169,2"
11. Cò Nòi,"21,0","19,8","42,5","113,0","171,3","217,6","242,7","243,2","128,8","51,7","25,3","16,1","1292,9"
12. Yên Châu,"13,0","14,6","34,6","103,3","152,9","191,9","220,5","252,8","144,1","56,6","19,6","11,7","1215,3"
13. Bắc Yên,"30,4","22,6","49,7","111,1","196,6","241,5","264,2","271,3","167,9","76,4","30,9","22,3","1481,9"
14. Phù Yên,"25,2","24,8","40,3","110,9","194,2","224,5","245,6","274,1","203,9","110,9","35,5","17,9","1507,2"
15. Mộc Châu,"21,9","21,3","49,9","101,9","182,6","231,3","268,0","318,6","257,2","132,3","38,0","18,0","1640,4"
16. Sơn La,"24,9","23,8","49,3","115,4","182,8","236,5","267,7","264,8","137,9","62,0","34,8","19,8","1415,6"
17. Kim Bôi,"33,5","30,8","55,3","103,6","272,6","304,4","339,8","348,8","346,0","224,7","75,2","25,1","2159,7"
18. Mai Châu,"14,5","12,8","29,0","94,8","194,4","250,9","316,2","337,5","288,9","171,5","36,4","11,1","1756,0"
19. Chi Nê,"23,0","19,5","42,1","75,8","202,6","227,6","307,5","354,8","343,0","215,7","64,6","19,8","1896,9"
20. Lạc Sơn,"33,3","25,5","46,5","94,3","244,9","260,6","310,7","347,6","317,4","194,7","76,9","25,5","1977,9"
21. Hoà Bình,"20,5","14,9","35,1","95,5","244,0","269,8","310,6","325,0","285,5","183,9","55,0","17,2","1857,1"
