Trạm,Tháng,Năm
Trạm,1,2,3,4,5,6,7,8,9,10,11,12,Năm
1. Mường Tè,"142,1","153,9","174,4","190,9","184,8","121,5","122,2","149,8","159,3","149,2","137,7","133,8","1814,8"
2. Sìn Hồ,"157,5","168,3","198,7","205,2","182,0","108,1","109,9","133,5","143,0","136,8","145,0","149,7","1840,6"
3. Tam Đường,"161,5","167,0","189,3","204,3","186,4","114,5","117,2","145,2","157,6","156,4","164,1","168,0","1936,8"
4. Than Uyên,"132,8","137,1","160,1","182,9","181,8","119,2","128,7","150,1","168,7","166,1","159,6","152,6","1845,3"
5. Lai Châu,"129,4","148,2","179,3","198,2","187,1","118,0","123,3","152,2","162,7","151,6","140,7","131,1","1823,6"
6. Tuần Giáo,"141,8","152,0","178,3","199,0","193,2","132,4","132,7","149,5","162,4","158,8","150,1","145,9","1896,3"
7. Pha Đin,"179,7","172,6","205,9","213,4","192,5","119,7","125,6","140,5","162,4","164,9","162,7","180,9","2019,9"
8. Điện Biên,"159,8","177,3","198,4","202,0","202,3","141,3","132,7","148,6","168,4","170,5","160,5","160,0","2025,4"
9. Quỳnh Nhai,"107,6","117,6","144,3","176,6","186,1","128,1","132,8","155,6","163,8","153,5","130,3","126,0","1720,5"
10. Sông Mã,"138,2","146,4","172,5","188,5","199,8","146,2","142,7","151,1","169,4","159,5","148,6","1908,1"
11. Cò Nòi,"151,3","152,3","173,1","197,5","208,8","157,6","163,8","168,2","182,3","179,8","170,0","171,3","2070,6"
12. Yên Châu,"134,3","136,5","159,6","180,4","201,8","154,9","160,7","162,2","169,2","155,0","146,3","147,8","1906,0"
13. Bắc Yên,"125,1","129,1","151,0","179,7","195,8","157,7","162,5","160,6","161,6","156,1","150,0","154,2","1882,4"
14. Phù Yên,"96,0","94,9","120,3","154,5","194,2","160,4","171,7","171,3","164,9","148,4","133,3","140,4","1755,8"
15. Mộc Châu,"134,4","128,2","151,3","170,6","191,0","155,5","162,3","154,9","157,1","150,4","149,0","152,6","1851,1"
16. Sơn La,"142,9","143,9","171,5","193,5","204,6","150,4","150,6","164,8","179,5","177,8","164,6","164,9","2005,7"
17. Kim Bôi,"64,5","51,0","55,3","93,3","164,2","155,2","170,0","158,3","153,2","137,7","123,6","106,2","1434,5"
18. Mai Châu,"84,8","78,6","98,7","129,5","170,2","148,3","153,4","144,4","140,7","124,8","115,0","109,6","1494,0"
19. Chi Nê,"66,3","48,5","50,3","88,0","168,7","167,8","171,7","154,3","152,6","140,2","126,2","112,9","1449,1"
20. Lạc Sơn,"64,2","58,8","54,8","95,4","154,4","152,1","150,7","147,4","139,9","130,5","110,2","85,9","1336,8"
21. Hoà Bình,"87,2","69,7","73,4","121,7","183,4","170,3","181,4","174,3","172,6","158,3","140,1","122,3","1654,7"
22. Hoàng Su Phì,"89,8","89,4","132,4","165,2","175,0","145,1","152,4","164,0","150,7","122,6","121,4","112,3","1622,6"
23. Bắc Quang,"53,6","57,0","57,6","107,0","151,3","136,3","147,6","166,8","157,9","122,8","108,3","78,7","1344,7"
24. Hà Giang,"54,9","56,4","68,0","107,6","158,0","132,5","156,5","172,1","161,4","124,8","108,8","88,9","1391,0"
25. Phố Ràng,"57,4","56,0","76,4","118,9","159,5","152,4","169,4","174,9","156,0","121,0","127,2","98,3","1473,2"
26. Bắc Hà,"80,4","87,1","115,3","147,2","165,5","137,1","135,9","136,7","121,4","103,1","108,9","98,4","1436,6"
27. Sa Pa,"113,3","115,6","151,2","167,8","148,1","98,9","104,1","114,2","101,7","94,0","112,5","121,0","1435,9"
28. Mù Căng Chải,"157,2","160,5","188,8","193,5","173,1","105,8","114,6","135,5","146,0","145,4","155,8","163,4","1832,8"
29. Văn Chấn,"82,8","81,4","106,0","137,5","166,6","141,8","159,5","158,4","147,9","129,0","119,1","108,4","1533,3"
30. Lục Yên,"48,9","49,0","56,7","94,3","153,1","147,6","162,8","169,1","156,7","122,0","103,0","90,1","1350,9"
31. Yên Bái,"51,7","40,3","43,0","73,7","147,1","149,5","163,5","174,5","169,5","140,0","119,3","97,3","1363,9"
32. Hàm Yên,"48,8","53,1","49,9","99,9","165,8","158,4","168,5","166,3","155,7","126,2","107,6","77,2","1363,5"
33. Tuyên Quang,"62,6","49,9","52,7","96,7","171,5","164,8","181,6","180,1","178,1","153,6","129,1","105,2","1521,3"
34. Chợ Rã,"60,9","52,1","64,1","102,2","145,2","139,2","142,8","170,2","153,8","132,2","113,0","95,4","1371,2"
35. Ngân Sơn,"62,5","66,8","58,2","96,4","149,9","132,0","144,7","174,2","157,1","127,9","116,5","103,0","1389,2"
36. Bắc Kạn,"66,8","56,6","59,8","96,2","165,4","155,3","172,5","174,2","178,2","151,1","126,6","109,7","1511,2"
37. Định Hoá,"53,2","44,9","40,6","80,9","144,8","146,9","153,6","168,1","161,9","138,4","115,6","87,2","1328,8"
38. Thái Nguyên,"64,1","44,8","42,2","78,2","163,4","159,8","182,0","177,4","182,8","161,6","138,5","113,3","1508,1"
39. Minh Đài,"64,7","50,6","55,4","92,8","161,2","161,5","178,0","172,5","170,2","153,1","128,6","116,1","1504,6"
40. Phú Hộ,"61,4","45,9","46,2","84,2","166,1","163,9","181,5","177,3","174,3","150,4","128,4","104,7","1481,4"
41. Việt Trì,"65,5","49,0","48,9","90,2","170,8","165,7","183,1","173,4","173,7","156,2","131,6","113,1","1517,0"
42. Tam Đảo,"61,8","44,7","58,6","81,5","133,0","122,0","138,5","126,4","136,8","129,7","115,4","107,1","1253,7"
43. Vĩnh Yên,"68,3","51,4","51,8","95,0","180,9","172,4","191,2","181,7","180,5","163,5","136,6","115,5","1585,2"
44. Bảo Lạc,"67,7","86,8","84,7","131,4","173,9","144,0","158,1","161,2","149,9","120,5","107,5","90,3","1477,0"
45. Trùng Khánh,"62,2","67,1","66,5","100,4","140,3","131,5","152,3","174,8","161,3","139,8","121,2","109,8","1426,2"
46. Cao Bằng,"63,9","65,1","76,8","117,9","161,7","152,9","173,3","179,7","166,0","136,1","116,6","106,4","1516,5"
47. Bắc Sơn,"56,6","45,4","49,5","79,6","148,0","150,3","167,5","169,3","136,7","123,3","112,2","1393,3"
48. Hữu Lũng,"58,2","48,1","40,6","85,0","159,4","161,0","172,2","167,9","175,2","160,1","128,1","107,0","1457,5"
49. Đình Lập,"73,1","55,9","57,9","85,2","158,9","152,9","169,2","158,4","168,0","157,1","143,1","124,2","1495,9"
50. Thất Khê,"60,4","53,5","54,6","93,1","152,3","148,7","168,2","173,7","164,6","139,4","120,3","108,6","1435,8"
51. Lạng Sơn,"74,5","59,2","98,1","171,2","161,4","180,2","171,3","174,4","157,5","136,3","115,5","1561,4"
52. Lục Ngạn,"78,6","56,3","57,0","100,9","187,5","173,6","191,6","174,9","182,3","171,2","145,1","122,7","1649,6"
53. Sơn Động,"67,2","52,9","52,5","91,0","174,1","160,8","172,3","155,2","153,7","146,2","127,6","109,0","1470,8"
54. Bắc Giang,"70,3","46,9","45,6","86,7","184,8","173,6","194,1","178,4","189,2","169,1","142,9","119,9","1603,8"
55. Hiệp Hòa,"63,3","43,8","46,9","81,4","174,9","175,0","193,3","183,3","196,1","173,6","147,9","128,7","1609,0"
56. Uông Bí,"72,5","57,4","35,0","77,3","155,9","149,7","159,8","160,3","161,9","166,5","142,2","111,7","1452,5"
57. Cô Tô,"88,3","44,2","56,4","99,4","200,7","186,0","226,5","184,2","197,3","192,3","170,9","129,8","1772,1"
58. Bãi Cháy,"81,2","48,3","42,9","88,7","178,2","168,4","186,8","165,2","177,1","177,3","155,7","127,7","1595,8"
59. Cửa Ông,"63,4","46,7","37,6","81,8","158,8","153,5","177,0","161,2","164,3","165,0","139,6","99,1","1448,0"
60. Tiên Yên,"70,6","54,6","34,5","72,9","137,1","135,1","143,9","149,5","158,2","179,8","142,4","99,2","1377,7"
61. Móng Cái,"73,1","48,9","50,5","86,2","157,1","149,2","173,4","171,0","185,8","184,9","151,8","117,6","1552,2"
62. Quảng Hà,"110,8","17,9","26,8","98,0","193,3","195,6","206,4","149,1","133,1","183,1","194,4","133,3","1641,8"
63. Phù Liễn,"82,0","46,6","41,3","85,0","183,7","181,3","199,1","169,5","179,1","179,8","148,5","126,8","1624,8"
