Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"49,0","53,8","70,1","98,0","183,3","339,0","373,0","573,0","151,0","102,2","91,0","94,0","573,0"
2. Sìn Hồ,"83,0","51,4","92,5","138,5","188,3","176,6","187,0","184,9","116,0","92,3","101,1","121,0","188,3"
3. Tam Đường,"72,0","51,4","72,3","122,9","150,8","164,0","225,0","157,0","118,7","115,5","103,8","104,0","225,0"
4. Than Uyên,"52,0","53,0","95,2","89,0","151,7","220,3","192,4","173,5","140,2","116,0","138,8","86,0","220,3"
5. Lai Châu,"54,0","47,2","95,7","85,6","170,6","197,5","242,5","235,3","99,0","140,3","131,7","121,0","242,5"
6. Tuần Giáo,"43,0","53,9","119,9","102,0","152,8","189,4","149,5","232,0","112,8","112,3","73,0","96,0","232,0"
7. Pha Đin,"41,8","135,9","99,3","96,2","156,9","123,2","185,9","252,7","136,6","93,0","134,3","97,8","252,7"
8. Điện Biên,"85,0","135,9","100,6","75,3","133,4","157,7","144,0","214,1","229,3","97,0","82,4","137,0","229,3"
9. Quỳnh Nhai,"52,3","57,3","104,0","116,0","187,8","169,9","206,6","170,0","187,8","86,4","103,0","101,0","206,6"
10. Sông Mã,"58,0","41,0","46,0","68,6","82,0","107,0","187,9","145,1","189,0","96,4","110,5","61,0","189,0"
11. Cò Nòi,"52,0","49,0","45,0","85,1","105,7","129,8","137,9","148,0","314,0","103,0","98,5","57,0","314,0"
12. Yên Châu,"39,0","42,5","52,1","87,0","114,6","140,5","172,0","258,6","287,0","135,0","64,5","55,4","287,0"
13. Bắc Yên,"72,0","59,0","50,8","62,2","133,4","217,6","118,5","144,1","208,0","138,0","104,2","56,4","217,6"
14. Phù Yên,"66,0","93,0","86,9","120,4","122,0","134,3","128,0","151,7","158,4","245,8","87,3","47,0","245,8"
15. Mộc Châu,"35,0","52,4","102,6","67,0","89,0","149,8","230,3","181,0","160,0","207,0","45,8","32,0","230,3"
16. Sơn La,"54,0","48,0","64,5","111,0","150,0","220,0","161,4","134,9","212,0","92,0","108,3","67,0","220,0"
17. Kim Bôi,"58,0","60,0","83,7","119,6","202,0","180,0","251,3","245,5","360,5","296,0","320,8","44,6","360,5"
18. Mai Châu,"76,7","39,5","62,0","101,2","105,4","220,7","350,0","259,5","273,2","310,4","107,5","39,1","350,0"
19. Chi Nê,"61,0","75,0","146,9","127,9","188,5","170,4","249,3","304,4","393,7","321,0","250,7","31,0","393,7"
20. Lạc Sơn,"90,0","56,7","124,5","142,2","151,5","132,0","184,3","171,9","217,3","319,0","379,5","63,8","379,5"
21. Hoà Bình,"50,5","46,6","59,7","94,2","104,6","164,6","257,1","258,4","340,6","207,6","125,6","38,3","340,6"
22. Hoàng Su Phì,"97,5","58,0","80,9","58,2","194,5","163,2","302,9","257,1","128,5","94,6","83,6","59,5","302,9"
23. Bắc Mê,"67,6","56,3","74,2","95,3","140,4","271,9","145,4","105,6","96,3","96,4","71,2","83,9","271,9"
24. Bắc Quang,"80,0","102,5","84,0","182,0","395,7","427,0","351,2","332,7","412,0","402,1","213,7","186,0","427,0"
25. Hà Giang,"56,0","54,2","122,0","128,6","256,2","196,2","242,8","206,0","290,0","144,0","107,6","203,4","290,0"
26. Phố Ràng,"49,0","39,8","81,3","97,3","175,5","131,1","152,2","235,9","116,6","126,5","65,8","76,4","235,9"
27. Bắc Hà,"40,0","72,4","74,0","107,0","156,9","124,7","116,5","112,2","129,8","121,0","273,3","68,0","273,3"
28. Sa Pa,"101,3","86,6","100,5","126,5","183,5","336,4","206,0","250,0","222,7","225,0","160,4","134,4","336,4"
29. Mù Căng Chải,"49,0","43,0","37,7","69,3","118,0","105,7","200,0","163,0","81,0","75,0","48,0","73,0","200,0"
30. Văn Chấn,"55,0","36,4","57,3","77,5","118,8","178,6","148,0","243,3","160,6","168,1","162,7","56,0","243,3"
31. Lục Yên,"65,0","51,4","130,0","101,2","165,7","249,0","383,0","207,1","185,0","192,4","143,0","69,0","383,0"
32. Yên Bái,"73,0","68,4","56,2","121,5","250,0","199,4","299,0","211,8","250,0","184,8","103,0","51,0","299,0"
33. Hàm Yên,"86,0","55,2","83,0","81,6","255,2","200,7","338,0","184,0","136,9","159,8","86,0","78,0","338,0"
34. Tuyên Quang,"98,0","66,0","74,5","100,6","204,7","183,0","316,0","169,0","131,8","160,1","139,0","47,0","316,0"
