Trạm,Tháng,Năm
Trạm,1,2,3,4,5,6,7,8,9,10,11,12,Năm
1. Mường Tè,"32,6","35,5","38,2","40,5","41,3","38,8","38,0","37,4","36,2","35,5","32,1","41,3"
2. Sìn Hồ,"30,8","25,8","28,0","30,7","29,9","28,7","28,4","28,3","29,2","27,2","25,2","22,5","30,8"
3. Tam Đường,"28,7","31,2","34,0","34,7","34,5","32,4","32,7","33,4","32,2","31,0","29,5","28,0","34,7"
4. Than Uyên,"31,5","35,2","36,2","37,5","37,3","36,3","36,6","36,4","36,2","34,6","32,5","30,7","37,5"
5. Lai Châu,"32,1","36,3","39,6","40,3","42,2","38,4","39,8","38,5","37,0","36,4","34,3","32,9","42,2"
6. Tuần Giáo,"31,0","36,3","36,8","37,3","37,4","36,6","36,3","36,4","35,1","34,0","31,4","37,4"
7. Pha Đin,"29,3","31,8","36,0","36,5","36,6","35,5","36,0","33,8","32,6","31,4","31,2","29,1","36,6"
8. Điện Biên,"32,0","35,0","36,0","36,9","37,8","37,9","36,0","35,0","35,5","34,0","31,1","37,9"
9. Quỳnh Nhai,"34,1","38,0","40,1","40,5","41,0","38,7","38,3","39,0","37,8","36,5","34,8","37,6","41,0"
10. Sông Mã,"34,4","36,9","38,9","40,1","41,7","39,3","39,2","37,5","36,5","35,6","33,5","41,7"
11. Cò Nòi,"31,8","34,4","36,4","37,9","38,0","36,8","35,6","34,6","34,0","32,9","32,0","31,4","38,0"
12. Yên Châu,"35,2","37,3","38,9","41,0","41,1","39,9","38,9","37,7","37,9","36,6","36,2","34,4","41,1"
13. Bắc Yên,"31,7","34,3","37,0","37,2","37,5","36,5","35,1","35,3","34,0","32,5","31,9","31,5","37,5"
14. Phù Yên,"35,5","37,2","39,9","41,0","41,8","39,7","39,3","38,3","36,7","36,8","35,3","35,2","41,0"
15. Mộc Châu,"29,0","31,4","33,5","34,2","35,0","33,3","32,8","34,5","31,7","31,1","29,5","28,5","35,0"
16. Sơn La,"31,5","34,3","36,6","37,3","39,2","35,8","35,3","35,0","34,8","33,9","32,0","30,7","39,2"
17. Kim Bôi,"34,5","37,2","38,1","39,8","40,7","40,9","40,8","39,4","38,0","36,0","37,4","33,7","40,9"
18. Mai Châu,"36,0","37,0","39,0","40,6","41,8","41,0","40,6","37,8","37,4","37,2","36,0","33,4","41,8"
19. Chi Nê,"33,2","37,0","38,3","40,5","41,7","40,9","39,1","37,3","35,6","34,9","33,0","41,7"
20. Lạc Sơn,"33,8","37,5","39,0","40,7","41,8","40,6","41,0","39,0","37,5","37,8","36,6","34,3","41,8"
21. Hoà Bình,"35,4","36,8","38,5","40,5","41,2","41,8","40,7","39,0","37,8","37,5","36,5","33,2","41,8"
22. Hoàng Su Phì,"30,9","35,4","38,0","38,2","39,9","38,5","36,9","37,3","37,0","34,0","33,1","30,3","39,9"
23. Bắc Mê,"32,3","35,5","37,8","40,0","41,0","40,0","39,7","39,0","38,2","36,4","33,8","31,8","41,0"
24. Bắc Quang,"31,6","34,2","36,0","38,0","40,4","40,6","38,5","38,4","37,2","35,8","33,6","31,6","40,6"
25. Hà Giang,"30,3","33,4","35,3","37,7","40,1","38,8","38,6","40,7","37,4","35,1","32,4","30,8","40,7"
26. Phố Ràng,"31,4","33,9","37,8","39,3","40,6","40,0","39,7","38,3","37,5","35,0","33,5","31,1","40,6"
27. Bắc Hà,"27,3","30,9","32,0","33,6","35,0","33,5","33,2","32,9","32,2","30,1","28,7","27,0","35,0"
28. Sa Pa,"23,2","25,8","28,1","29,1","29,5","27,9","29,1","29,6","28,2","26,4","24,2","24,0","29,6"
29. Mù Căng Chải,"29,0","30,3","34,0","34,2","34,0","33,5","32,9","33,0","31,0","30,0","28,6","34,2"
30. Văn Chấn,"33,5","35,7","37,9","39,0","41,2","40,0","39,3","38,0","36,9","38,2","34,5","31,5","41,2"
31. Lục Yên,"30,6","34,4","36,3","38,0","41,3","40,7","38,8","38,6","37,4","35,0","33,5","31,0","41,3"
32. Yên Bái,"30,4","34,3","35,5","36,9","40,0","40,4","39,8","39,6","37,4","35,0","33,1","30,8","40,4"
33. Hàm Yên,"32,2","34,0","36,9","38,0","41,5","40,0","39,2","39,1","37,7","35,2","33,7","32,3","41,5"
34. Tuyên Quang,"32,0","34,5","37,1","38,3","41,0","40,5","38,5","38,2","37,3","35,0","34,3","32,4","41,0"
35. Chiêm Hóa,"32,6","34,8","37,5","38,6","41,5","39,8","38,3","39,1","36,9","35,2","34,6","33,4","41,5"
36. Chợ Rã,"31,4","35,2","37,2","39,3","41,5","39,6","38,5","38,9","38,1","35,8","35,2","32,9","41,5"
37. Ngân Sơn,"28,5","33,1","34,3","36,0","36,9","35,9","35,4","35,8","34,9","32,5","31,6","30,1","36,9"
38. Bắc Kạn,"30,8","35,8","36,4","38,7","40,5","39,0","37,9","37,5","37,0","34,8","33,9","31,9","40,5"
39. Định Hoá,"31,3","36,8","39,9","41,6","40,1","39,0","38,9","37,8","35,0","33,7","32,5","41,6"
40. Thái Nguyên,"31,1","33,5","35,7","38,0","40,7","40,8","39,2","38,4","37,4","34,9","34,0","30,6","40,8"
41. Minh Đài,"32,8","36,4","38,7","40,4","41,2","40,9","41,0","39,9","38,0","35,4","33,1","36,5","41,2"
42. Phú Hộ,"31,2","34,4","35,5","38,3","41,2","40,4","39,6","38,6","36,8","35,0","33,5","31,6","41,2"
43. Việt Trì,"31,8","33,8","35,6","38,5","41,2","41,4","39,9","39,2","37,0","34,8","32,0","41,4"
44. Tam Đảo,"26,2","29,0","30,7","32,1","33,4","33,0","31,8","32,4","30,8","29,0","27,3","24,7","33,4"
45. Vĩnh Yên,"31,4","35,2","35,8","38,3","41,1","41,4","39,5","38,1","37,0","35,1","34,4","31,5","41,4"
46. Bảo Lạc,"32,2","36,0","37,5","39,7","41,6","40,5","39,8","39,3","38,5","36,4","34,5","32,5","41,6"
47. Nguyên Bình,"29,2","33,5","34,4","37,0","37,2","37,0","36,4","36,9","35,5","33,1","31,2","30,3","37,2"
48. Trùng Khánh,"29,1","32,5","34,0","37,0","37,1","37,0","35,9","36,5","36,3","32,6","31,8","29,4","37,1"
49. Cao Bằng,"32,3","35,9","37,1","39,5","40,4","39,6","38,7","39,1","37,8","36,9","34,4","32,3","40,4"
50. Bắc Sơn,"29,1","33,2","34,1","37,3","37,8","37,4","36,6","36,1","35,4","33,1","32,8","30,0","37,8"
51. Hữu Lũng,"31,4","34,0","36,8","38,4","40,3","41,3","39,0","37,9","36,9","35,5","34,6","31,5","41,3"
52. Đình Lập,"31,0","35,7","39,1","38,0","39,9","37,8","37,0","36,2","36,7","33,1","31,1","39,9"
53. Thất Khê,"31,0","35,6","36,8","38,5","39,6","39,3","38,7","37,5","34,5","33,8","31,1","39,6"
54. Lạng Sơn,"30,7","34,4","35,6","37,9","38,4","38,8","37,6","37,0","36,2","33,7","32,7","29,5","38,8"
55. Lục Ngạn,"32,4","34,7","36,8","38,2","40,0","40,8","39,2","37,5","37,8","35,5","34,5","31,3","40,8"
56. Sơn Động,"31,6","35,7","36,3","38,7","41,0","41,1","39,0","37,5","37,7","34,8","33,5","30,9","41,1"
57. Bắc Giang,"30,8","33,3","35,3","36,5","38,7","40,8","38,7","37,4","37,0","34,8","34,3","30,0","40,8"
58. Hiệp Hòa,"31,5","33,7","35,8","36,5","39,0","40,0","38,5","37,4","37,3","35,2","35,0","30,4","40,0"
59. Uông Bí,"30,8","31,8","33,6","35,3","37,5","39,6","37,9","36,9","36,0","35,1","32,4","32,1","39,6"
60. Cô Tô,"29,5","28,0","29,8","32,8","34,4","35,6","36,2","35,1","34,4","34,0","31,4","28,3","36,2"
61. Bãi Cháy,"28,8","29,5","32,0","34,6","36,1","37,3","37,9","36,5","36,3","34,1","33,8","29,7","37,9"
62. Cửa Ông,"28,7","29,8","33,5","34,6","36,1","37,4","38,8","36,9","36,1","34,8","33,0","29,6","38,8"
63. Tiên Yên,"31,5","33,5","36,1","37,2","37,3","37,7","38,0","38,1","37,0","34,8","32,5","30,5","38,1"
64. Móng Cái,"27,0","29,8","30,5","33,1","34,4","38,8","37,1","37,3","36,9","34,4","32,0","29,2","38,8"
65. Quảng Hà,"27,4","29,5","30,3","32,8","34,6","37,2","37,0","37,3","36,7","34,0","31,8","28,6","37,3"
66. Phù Liễn,"30,4","32,0","35,0","37,4","38,8","39,5","38,5","36,9","35,7","34,0","33,1","29,3","39,5"
67. Hòn Dấu,"28,0","28,3","30,0","32,6","37,3","36,8","38,0","38,6","35,7","34,8","32,5","31,5","38,6"
68. Bạch Long Vĩ,"36,0","28,3","29,8","33,0","33,9","36,0","35,7","35,0","33,8","32,4","31,8","29,6","36,0"
69. Ba Vì,"31,9","34,8","38,8","38,3","41,6","40,8","39,6","38,5","37,3","35,5","35,0","28,5","41,6"
70. Hà Đông,"32,4","34,9","38,9","39,9","40,0","42,5","40,0","38,0","37,1","34,9","35,0","30,7","42,5"
71. Sơn Tây,"31,4","34,0","38,0","37,6","40,5","41,6","40,1","38,7","36,7","35,6","34,0","31,2","41,6"
72. Hà Nội,"31,5","34,7","37,2","39,0","40,5","41,8","40,8","38,7","36,8","36,6","35,5","31,5","41,8"
73. Chí Linh,"31,2","33,2","35,2","37,0","40,0","38,8","39,0","37,9","36,8","35,5","34,0","30,0","40,0"
74. Hải Dương,"29,6","32,5","34,0","35,7","39,0","40,2","38,9","37,0","36,1","36,4","33,8","30,6","40,2"
75. Hưng Yên,"32,0","33,6","37,6","37,0","39,4","40,5","37,8","36,4","35,3","34,5","31,6","40,5"
76. Nam Định,"31,7","35,4","35,9","37,2","39,7","40,2","39,4","37,6","36,5","34,7","34,0","31,3","40,2"
77. Văn Lý,"32,0","32,9","34,0","34,7","38,9","38,5","37,8","36,8","39,3","33,8","32,0","29,3","39,3"
78. Thái Bình,"31,7","34,6","35,9","37,0","38,2","39,0","39,2","37,2","36,3","33,9","32,5","30,1","39,2"
79. Hà Nam,"32,8","36,9","37,3","38,9","40,1","41,0","40,4","38,3","37,0","34,6","35,2","31,5","41,0"
80. Ninh Bình,"32,4","35,2","36,6","38,8","40,4","40,1","39,5","37,9","36,6","34,2","33,6","30,3","40,4"
81. Nho Quan,"33,6","35,7","38,4","40,4","41,5","40,8","41,3","39,0","37,4","35,1","34,5","31,6","41,5"
82. Yên Định,"32,5","33,6","37,0","37,1","41,1","40,5","40,1","38,5","37,0","35,1","34,0","31,3","41,1"
83. Bái Thượng,"33,6","36,2","37,7","40,5","41,5","40,5","39,0","37,4","35,4","36,2","34,3","41,5"
84. Như Xuân,"32,9","36,3","38,2","40,0","41,9","41,8","41,0","39,0","38,5","39,5","36,0","34,5","41,9"
85. Tĩnh Gia,"33,5","36,4","38,2","39,8","42,4","42,0","42,2","40,1","38,3","34,6","35,5","30,8","42,2"
86. Thanh Hoá,"32,6","34,5","35,5","38,3","40,7","40,3","39,7","38,4","37,9","34,5","33,2","30,2","40,7"
87. Hồi Xuân,"35,1","36,8","40,7","41,0","41,7","41,3","40,3","39,0","40,6","37,8","35,6","34,9","41,7"
88. Quỳ Châu,"36,3","38,0","39,8","42,0","42,5","40,6","41,0","39,7","37,9","36,3","36,5","32,8","42,0"
89. Quỳ Hợp,"35,2","37,2","40,1","41,8","42,7","42,0","41,8","40,3","38,2","36,8","37,0","33,3","42,7"
90. Tây Hiếu,"35,7","36,5","39,6","43,0","42,0","41,6","41,3","39,9","37,3","35,9","36,5","38,5","43,0"
91. Quỳnh Lưu,"32,8","34,3","36,4","39,3","40,4","39,2","39,7","38,5","37,4","34,5","33,6","30,7","40,4"
92. Con Cuông,"36,3","37,8","40,2","42,0","42,5","42,2","41,4","40,0","38,7","36,9","37,0","34,2","42,5"
