Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"15,9","16,5","18,9","22,8","26,8","29,5","29,6","29,3","27,5","24,5","20,1","16,5","23,2"
2. Sìn Hồ,"10,5","10,9","12,5","15,6","18,7","20,6","20,8","20,5","18,8","16,4","13,2","10,7","15,8"
3. Tam Đường,"12,3","12,6","14,6","18,2","22,0","24,5","24,7","24,3","22,4","19,6","15,5","12,4","18,6"
4. Than Uyên,"13,3","14,1","16,9","21,1","24,7","27,0","27,4","26,9","24,5","21,2","16,9","13,8","20,7"
5. Lai Châu,"15,7","16,2","19,0","23,4","27,2","29,8","30,1","30,0","28,1","24,7","20,0","16,4","23,4"
6. Tuần Giáo,"13,8","14,5","17,0","21,3","24,8","27,1","27,4","27,1","25,2","21,9","17,6","14,3","21,0"
7. Pha Đin,"11,8","12,0","13,8","17,2","20,0","22,0","22,2","22,0","20,1","17,9","14,5","11,9","17,1"
8. Điện Biên,"15,4","16,3","19,3","23,4","26,4","28,3","28,6","28,4","26,8","23,2","18,6","15,3","22,5"
9. Quỳnh Nhai,"16,0","17,0","20,4","25,0","28,7","31,2","31,4","31,1","29,2","25,3","20,3","16,6","24,3"
10. Sông Mã,"15,0","16,0","18,4","22,6","26,5","29,2","29,4","28,9","27,0","23,4","18,8","15,4","22,6"
11. Cò Nòi,"13,0","13,6","16,3","20,2","23,6","26,2","26,6","26,2","23,8","20,4","16,1","13,0","19,9"
12. Yên Châu,"14,2","15,2","18,3","22,7","26,2","28,7","29,2","29,0","26,8","23,0","18,3","14,8","22,2"
13. Bắc Yên,"13,6","14,1","17,0","21,1","24,1","26,1","26,6","26,4","24,2","20,8","16,6","13,5","20,4"
14. Phù Yên,"15,1","16,2","19,6","24,3","27,8","29,7","30,1","30,1","28,0","24,0","19,4","15,8","23,3"
15. Mộc Châu,"12,6","13,5","16,0","19,7","22,2","23,9","24,2","24,0","22,2","19,1","15,5","12,9","18,8"
