Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"13,4","14,0","16,2","19,4","22,0","23,6","23,6","23,3","22,4","20,5","17,2","14,1","19,2"
2. Sìn Hồ,"6,9","8,6","11,3","14,2","16,6","18,0","18,0","17,6","16,1","13,8","10,1","6,9","13,2"
3. Tam Đường,"10,1","11,4","14,3","17,2","19,3","20,7","20,6","20,4","19,2","17,0","13,5","10,3","16,2"
4. Than Uyên,"10,6","11,8","14,8","18,2","21,0","22,3","22,4","22,2","20,8","18,5","14,4","11,0","17,3"
5. Lai Châu,"13,8","14,7","17,2","20,3","22,5","23,9","23,9","23,8","22,8","20,8","17,4","14,2","19,6"
6. Tuần Giáo,"11,1","12,1","14,7","18,3","21,0","22,6","22,6","22,3","20,9","18,5","15,0","11,6","17,6"
7. Pha Đin,"9,8","11,3","14,3","16,6","17,9","18,7","18,7","18,6","17,7","15,8","12,7","10,0","15,2"
8. Điện Biên,"12,5","13,5","15,8","19,3","21,7","23,4","23,3","23,0","21,7","19,4","15,7","12,4","18,5"
9. Quỳnh Nhai,"13,6","14,9","17,6","20,9","23,1","24,4","24,5","24,3","23,3","21,0","17,5","14,0","19,9"
10. Sông Mã,"12,5","13,7","16,3","19,5","21,9","23,2","23,2","22,9","21,8","19,5","16,0","12,7","18,6"
11. Cò Nòi,"10,6","12,4","15,6","18,8","20,8","22,0","21,9","21,5","20,1","17,6","14,0","10,5","17,2"
12. Yên Châu,"12,5","14,3","17,4","20,4","22,6","23,8","23,8","23,5","22,2","19,8","16,1","12,6","19,1"
13. Bắc Yên,"11,6","13,0","15,9","19,1","21,4","22,6","22,4","22,1","21,0","18,7","15,5","12,2","18,0"
14. Phù Yên,"13,5","15,2","18,1","21,2","23,4","24,8","24,8","24,3","23,1","20,7","17,2","13,8","20,0"
15. Mộc Châu,"9,4","10,8","13,8","17,0","19,4","20,6","20,6","20,1","18,8","16,4","13,2","10,0","15,8"
16. Sơn La,"10,9","12,5","15,6","18,7","20,9","22,2","22,2","21,9","20,4","18,0","14,5","11,2","17,4"
17. Kim Bôi,"13,7","15,3","18,0","21,3","23,6","25,0","25,1","24,7","23,4","20,9","17,5","14,3","20,2"
18. Mai Châu,"15,7","17,0","19,1","21,5","22,7","23,1","23,0","22,8","22,1","20,6","18,6","16,4","20,2"
19. Chi Nê,"14,2","15,8","18,3","21,7","24,3","25,8","25,9","25,3","24,2","21,7","18,1","14,7","20,8"
20. Lạc Sơn,"13,8","15,4","18,1","21,4","23,7","25,1","25,2","24,8","23,6","21,0","17,5","14,2","20,4"
21. Hoà Bình,"14,0","15,6","18,4","21,8","24,0","25,4","25,5","25,2","24,1","21,4","18,1","14,8","20,7"
22. Hoàng Su Phì,"11,6","13,1","16,1","19,4","21,7","23,0","23,1","22,6","21,3","19,0","15,4","12,1","18,2"
23. Bắc Mê,"12,4","13,9","16,8","20,1","22,3","23,9","24,1","23,8","22,2","19,7","16,1","12,5","19,0"
24. Bắc Quang,"13,6","15,2","18,0","21,2","23,3","24,6","24,8","24,6","23,4","21,2","17,6","14,3","20,2"
25. Hà Giang,"13,3","14,9","17,9","21,2","23,4","24,6","24,7","24,5","23,3","21,0","17,2","14,0","20,0"
