Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"84,3","80,9","79,1","79,1","82,2","86,8","87,9","86,6","85,6","85,6","86,1","85,7","84,2"
2. Sìn Hồ,"84,9","79,7","74,5","77,8","83,4","87,8","89,1","88,7","87,5","87,6","87,8","87,0","84,6"
3. Tam Đường,"81,2","77,0","73,0","75,9","81,3","87,2","89,0","87,6","86,0","84,3","82,3","81,7","82,2"
4. Than Uyên,"80,8","79,0","77,5","78,4","80,9","85,2","86,3","85,7","82,5","81,1","81,0","80,3","81,6"
5. Lai Châu,"80,6","76,4","74,5","76,5","79,9","85,3","87,0","86,0","84,0","83,8","83,8","83,1","81,7"
6. Tuần Giáo,"82,6","79,5","77,8","79,5","81,8","85,1","86,3","86,8","85,9","84,8","84,6","83,8","83,2"
7. Pha Đin,"81,4","75,8","71,1","75,5","83,0","89,7","91,4","90,5","86,9","86,0","83,9","81,9","83,2"
8. Điện Biên,"82,4","80,2","80,2","81,7","82,2","83,9","86,4","87,5","86,3","84,2","83,1","83,1","83,4"
9. Quỳnh Nhai,"83,2","80,0","79,1","80,0","82,0","85,6","87,0","86,7","86,1","85,4","84,7","83,9","83,6"
10. Sông Mã,"79,5","76,4","74,3","75,5","78,8","83,8","86,1","86,4","84,7","83,2","81,8","80,9","81,0"
11. Cò Nòi,"78,4","75,5","72,4","74,0","76,8","82,8","85,5","86,0","83,7","81,3","79,6","78,4","79,6"
12. Yên Châu,"76,7","74,0","72,1","73,8","76,1","80,8","83,2","84,7","83,7","82,1","79,9","78,0","78,7"
13. Bắc Yên,"83,1","81,2","79,6","79,1","78,8","82,3","84,7","85,7","84,1","82,2","80,3","79,1","81,7"
14. Phù Yên,"80,5","79,5","78,8","79,5","78,8","79,5","81,1","83,5","83,6","82,2","80,8","79,8","80,5"
15. Mộc Châu,"87,4","86,9","84,0","82,9","82,3","84,6","86,3","88,1","87,8","86,4","85,8","85,2","85,6"
16. Sơn La,"79,0","75,7","72,6","74,6","77,8","82,9","85,0","85,6","84,0","81,9","80,7","79,1","79,9"
17. Kim Bôi,"84,2","85,1","85,9","85,2","83,5","84,0","84,4","86,6","86,1","84,3","82,7","81,6","84,5"
18. Mai Châu,"79,9","79,0","79,2","79,5","80,3","81,6","83,3","85,6","85,2","83,4","81,3","79,6","81,5"
19. Chi Nê,"82,8","84,5","85,7","84,9","81,8","81,7","82,6","85,7","85,0","82,9","81,3","79,5","83,1"
20. Lạc Sơn,"84,9","86,1","86,4","85,3","82,9","83,9","84,8","87,4","87,4","86,0","84,7","83,8","85,3"
21. Hoà Bình,"83,4","83,7","84,1","83,7","82,1","82,2","83,5","85,0","84,9","84,1","82,6","81,8","83,4"
22. Hoàng Su Phì,"81,1","79,4","77,6","77,0","77,3","81,1","83,4","83,9","82,9","82,4","81,3","80,9","80,7"
23. Bắc Mê,"83,5","81,6","80,5","80,4","81,7","85,4","86,7","86,5","85,4","85,0","84,6","83,5","83,7"
24. Bắc Quang,"87,7","87,1","86,0","85,3","83,9","85,1","85,9","85,7","85,2","86,0","86,3","86,0","85,9"
25. Hà Giang,"84,9","83,9","82,8","81,8","80,5","84,5","85,9","85,7","84,2","84,0","84,1","84,0","83,8"
26. Phố Ràng,"86,6","86,1","84,6","84,0","82,9","83,6","85,2","86,6","87,0","87,2","86,6","85,8","85,4"
27. Bắc Hà,"88,6","88,1","86,5","85,1","84,1","85,6","86,7","87,4","87,1","87,2","87,2","87,2","86,7"
28. Sa Pa,"87,8","85,5","82,1","82,3","84,8","86,9","88,3","88,8","90,0","90,8","89,5","88,5","87,2"
29. Mù Căng Chải,"79,9","77,3","73,7","74,6","78,9","84,3","86,1","85,5","82,8","81,3","80,5","80,3","80,5"
30. Văn Chấn,"83,3","83,2","83,1","83,7","82,8","83,0","84,1","85,8","85,6","84,8","83,6","82,7","83,8"
31. Lục Yên,"87,1","87,3","86,9","86,6","83,6","84,6","85,8","86,6","86,3","86,2","86,1","85,7","86,1"
32. Yên Bái,"87,2","88,0","88,5","87,9","84,3","84,6","85,6","86,2","85,6","85,2","85,0","84,8","86,1"
33. Hàm Yên,"86,3","86,3","86,3","85,8","83,9","85,4","86,0","87,1","86,3","86,0","85,6","85,0","85,8"
34. Tuyên Quang,"82,4","82,6","83,5","83,0","80,5","81,8","83,0","84,9","83,7","82,5","81,7","80,6","82,5"
35. Chiêm Hóa,"85,5","85,1","84,6","83,9","82,2","84,4","85,6","86,7","85,6","85,3","85,2","84,4","84,9"
36. Chợ Rã,"82,7","81,0","81,0","81,5","81,7","84,1","85,4","85,6","84,5","84,7","84,1","82,9","83,2"
37. Ngân Sơn,"82,0","82,9","83,4","83,0","81,6","83,5","85,4","85,3","83,0","81,4","81,1","80,1","82,7"
38. Bắc Kạn,"81,3","81,4","82,8","83,0","81,8","84,0","85,7","86,2","84,5","82,8","82,1","80,4","83,0"
39. Định Hoá,"82,1","82,8","84,2","84,6","82,0","83,1","84,3","85,3","84,5","83,5","82,0","81,0","83,3"
40. Thái Nguyên,"79,4","81,4","84,4","85,3","81,8","82,3","83,5","84,7","82,3","79,8","78,0","76,6","81,6"
41. Minh Đài,"87,3","88,0","88,0","87,3","85,3","84,6","85,5","87,3","86,4","86,0","85,0","84,8","86,3"
42. Phú Hộ,"85,8","86,7","87,5","86,8","83,4","83,1","84,1","85,6","84,7","83,3","82,5","82,0","84,6"
43. Việt Trì,"83,6","84,7","85,7","85,9","82,5","81,9","83,0","84,3","82,9","81,3","80,6","79,9","83,0"
44. Tam Đảo,"89,0","91,4","91,3","91,0","88,1","87,8","88,6","88,8","85,8","83,3","81,3","83,0","87,4"
45. Vĩnh Yên,"80,8","82,6","84,0","84,1","80,7","80,7","81,6","83,4","81,5","79,7","78,9","78,0","81,3"
46. Bảo Lạc,"81,5","78,9","76,4","76,3","77,9","82,5","84,3","85,2","84,2","84,3","83,8","82,5","81,4"
47. Nguyên Bình,"83,6","83,7","83,0","81,8","80,6","82,8","84,6","84,9","82,8","81,3","81,0","81,3","82,6"
48. Trùng Khánh,"80,0","80,9","81,0","80,7","80,4","82,6","83,4","84,0","82,6","80,6","79,8","78,4","81,1"
49. Cao Bằng,"81,1","80,7","80,5","80,3","80,3","82,9","84,7","85,8","84,0","82,6","82,1","80,4","82,1"
50. Bắc Sơn,"80,4","82,4","84,5","83,9","81,0","82,0","83,4","84,5","82,1","79,5","78,5","77,4","81,6"
51. Hữu Lũng,"78,3","80,1","83,0","83,8","81,2","82,8","84,2","86,1","83,7","80,7","78,4","76,9","81,6"
52. Đình Lập,"79,1","81,4","84,0","84,5","83,1","85,3","86,0","87,5","85,1","80,9","78,0","76,9","82,7"
53. Thất Khê,"83,2","83,8","84,6","84,2","83,0","84,1","85,0","85,8","84,7","83,4","82,8","81,9","83,9"
54. Lạng Sơn,"80,4","82,5","83,6","82,7","81,6","83,6","84,2","85,9","84,7","82,0","80,0","78,0","82,5"
55. Lục Ngạn,"78,4","80,0","82,1","81,7","79,6","81,3","82,6","85,2","83,2","80,8","78,7","77,1","80,8"
56. Sơn Động,"78,8","80,3","81,7","81,1","79,2","81,5","82,7","85,1","83,8","81,1","79,2","77,7","81,0"
57. Bắc Giang,"78,7","81,6","84,8","85,7","83,1","82,3","82,6","84,8","82,6","79,9","77,8","76,4","81,7"
58. Hiệp Hòa,"81,6","83,5","87,1","88,1","84,4","83,7","84,1","85,9","83,1","80,9","78,1","77,2","83,1"
59. Uông Bí,"79,4","82,7","85,7","86,0","83,5","83,7","83,6","85,9","83,3","79,1","76,6","75,7","82,0"
60. Cô Tô,"82,4","87,6","89,7","89,4","87,5","86,8","85,3","85,8","81,8","77,9","75,4","77,6","84,0"
61. Bãi Cháy,"80,4","84,0","87,1","86,5","83,3","83,8","83,6","85,6","82,5","78,5","76,7","76,3","82,4"
62. Cửa Ông,"81,6","86,0","87,9","86,8","83,7","84,5","84,2","85,7","82,7","79,0","77,7","77,2","83,1"
63. Tiên Yên,"83,5","86,8","88,9","88,0","85,6","86,5","86,6","87,1","84,6","82,1","81,2","81,1","85,2"
64. Móng Cái,"80,3","84,2","86,9","87,2","86,0","86,8","86,6","86,7","83,3","79,6","77,2","76,2","83,5"
65. Quảng Hà,"77,0","89,0","93,0","90,0","84,0","84,0","83,0","87,0","89,0","84,0","81,0","85,0","85,5"
66. Phù Liễn,"84,4","88,5","90,9","90,7","87,5","86,8","86,6","88,4","86,3","82,3","79,8","79,5","86,0"
67. Hòn Dấu,"82,4","87,2","89,9","90,0","86,9","86,1","85,1","86,3","83,9","79,7","77,8","77,6","84,4"
68. Bạch Long Vĩ,"84,5","89,1","90,8","91,0","89,2","86,8","84,7","85,3","83,8","80,9","78,9","79,3","85,5"
69. Ba Vì,"84,7","86,0","86,6","86,8","84,2","82,5","83,7","85,8","84,5","83,0","81,6","81,3","84,3"
70. Hà Đông,"83,3","85,3","86,8","88,1","85,5","82,5","82,5","85,7","86,1","82,9","81,2","80,2","84,2"
71. Sơn Tây,"83,8","85,0","86,7","87,2","84,6","82,9","83,6","85,4","84,6","82,4","81,3","80,4","84,0"
72. Hà Nội,"79,9","82,5","84,5","84,7","81,1","80,0","80,7","82,7","81,0","78,5","77,1","76,2","80,7"
73. Chí Linh,"77,6","81,2","85,3","85,3","82,4","81,9","81,5","84,5","80,7","76,2","72,0","72,8","80,1"
74. Hải Dương,"82,4","85,4","88,2","88,7","85,9","83,5","83,6","86,6","85,6","82,4","80,2","79,5","84,3"
75. Hưng Yên,"84,3","87,1","89,2","89,1","85,6","83,1","83,8","86,7","86,2","83,7","82,2","81,5","85,2"
76. Nam Định,"84,6","87,6","89,5","88,6","84,4","82,0","81,8","85,2","85,1","83,0","81,9","81,7","84,6"
77. Văn Lý,"85,8","89,4","91,4","91,0","86,8","84,3","83,2","84,8","84,4","82,9","81,7","81,8","85,6"
78. Thái Bình,"85,5","88,6","90,3","90,0","86,5","83,5","82,8","86,8","87,0","84,6","82,6","82,5","85,9"
79. Hà Nam,"84,3","86,6","88,6","88,2","85,1","82,2","82,0","85,9","85,8","83,0","81,5","80,8","84,5"
80. Ninh Bình,"84,4","87,5","89,4","88,8","84,9","82,4","82,0","85,5","85,2","82,5","80,9","80,7","84,5"
81. Nho Quan,"84,3","86,4","88,3","87,3","83,4","82,1","82,5","86,1","85,9","83,4","81,7","80,9","84,4"
82. Yên Định,"85,3","87,5","89,7","89,8","86,1","83,5","83,9","88,1","88,2","85,8","83,7","83,0","86,3"
83. Bái Thượng,"86,6","87,6","88,9","88,4","85,2","83,7","83,7","86,5","86,0","84,8","83,1","83,5","85,7"
84. Như Xuân,"87,1","88,7","89,6","88,8","83,4","80,0","80,7","85,8","86,9","84,8","83,6","83,8","85,2"
85. Tĩnh Gia,"87,1","89,3","90,6","89,3","84,0","79,2","79,4","83,8","86,0","84,7","82,9","82,8","84,9"
86. Thanh Hoá,"84,9","87,8","89,5","89,1","84,1","80,6","81,0","84,9","85,5","83,4","81,9","81,3","84,5"
87. Hồi Xuân,"85,6","85,1","84,5","83,5","82,1","84,6","85,5","87,1","87,4","86,9","86,1","85,1","85,3"
88. Quỳ Châu,"87,4","86,9","86,0","84,4","83,3","84,2","84,3","87,3","87,7","87,6","87,2","86,8","86,1"
89. Quỳ Hợp,"85,8","86,3","85,8","83,3","80,6","80,1","80,0","84,9","86,5","85,2","84,2","83,6","83,8"
90. Tây Hiếu,"87,2","87,9","87,3","85,1","81,5","80,4","80,5","85,3","87,3","86,7","85,7","85,4","84,9"
91. Quỳnh Lưu,"86,2","88,3","89,9","89,0","84,4","80,2","80,4","85,0","86,1","84,5","83,2","83,1","85,0"
92. Con Cuông,"88,5","88,7","87,5","84,9","81,1","79,2","78,6","83,5","86,6","87,8","86,9","87,0","85,0"
93. Đô Lương,"87,0","88,1","88,4","86,8","81,8","78,3","78,3","83,1","86,0","85,5","85,1","84,6","84,4"
94. Tương Dương,"81,9","80,8","79,7","78,8","78,7","79,8","80,3","83,9","84,8","85,7","85,0","83,3","81,9"
95. Vinh,"89,3","90,8","90,4","87,8","80,8","74,5","73,7","79,8","85,3","86,7","86,1","85,9","84,2"
96. Hương Khê,"89,7","90,1","89,1","85,7","80,6","76,7","75,2","81,4","86,0","88,4","88,1","88,3","84,9"
97. Kỳ Anh,"90,5","91,6","90,4","87,1","80,0","73,1","71,4","77,1","84,9","87,5","87,5","87,8","84,0"
98. Hà Tĩnh,"89,9","91,3","90,4","87,0","80,5","74,8","73,4","79,3","85,1","87,3","87,4","87,3","84,4"
99. Tuyên Hoá,"90,3","90,1","88,3","84,9","80,3","75,2","74,1","80,0","87,2","89,9","89,6","89,6","84,9"
100. Ba Đồn,"88,5","89,6","89,1","87,0","81,4","74,8","73,4","77,8","84,9","87,2","86,8","86,9","83,9"
101. Đồng Hới,"87,5","89,4","89,0","86,7","79,5","72,2","70,6","75,3","83,5","86,0","85,3","85,4","82,5"
102. Cồn Cỏ,"89,6","92,2","92,6","91,2","86,0","78,9","76,9","78,1","82,7","85,0","84,4","86,0","85,4"
103. Đông Hà,"88,7","89,7","87,9","84,7","78,6","72,6","71,8","75,6","83,7","87,8","88,1","87,5","83,1"
104. Khe Sanh,"90,2","89,7","86,0","83,3","82,9","84,4","85,9","88,6","90,0","90,6","90,7","90,5","87,7"
105. A Lưới,"91,6","91,0","89,3","87,8","86,1","80,6","80,3","82,2","89,1","91,6","92,9","92,9","88,0"
106. Nam Đông,"88,1","88,0","85,2","82,2","81,8","80,3","80,0","81,8","86,7","89,9","91,5","91,8","85,6"
107. Huế,"89,6","89,9","87,8","84,1","79,1","75,4","74,1","76,4","83,6","87,7","89,1","90,2","83,9"
108. Đà Nẵng,"84,2","83,9","83,7","82,7","79,3","76,4","75,8","77,4","82,1","84,4","84,7","85,4","81,7"
109. Tam Kỳ,"88,6","87,7","85,9","83,4","80,2","78,1","77,9","79,0","84,4","87,5","88,8","89,6","84,3"
110. Trà My,"90,0","88,1","85,5","84,1","84,5","84,4","84,5","84,8","87,7","90,4","92,0","92,4","87,5"
111. Ba Tơ,"88,6","86,6","84,9","82,9","82,5","80,6","80,5","80,5","85,7","88,5","89,9","90,2","85,1"
112. Quảng Ngãi,"87,2","86,2","84,9","83,0","80,3","78,5","78,7","80,1","84,3","87,2","88,1","88,2","83,9"
113. Lý Sơn,"85,5","88,2","89,9","89,5","86,4","81,8","80,3","80,0","83,5","85,3","85,6","84,7","85,2"
114. Hoài Nhơn,"84,5","84,3","83,0","82,0","80,0","76,4","75,3","76,6","84,2","86,5","86,4","85,4","82,1"
115. Quy Nhơn,"80,9","81,6","82,5","82,2","79,5","73,5","71,7","70,8","77,8","82,5","83,2","81,8","79,0"
116. Sơn Hoà,"85,2","82,3","80,0","78,2","77,5","76,0","74,9","76,3","82,8","88,3","88,6","86,8","81,4"
117. Tuy Hoà,"83,4","83,3","82,9","81,7","78,3","73,9","73,9","74,7","79,9","85,1","85,5","84,2","80,6"
118. Nha Trang,"78,1","78,7","79,6","80,4","78,8","77,2","76,9","77,2","80,0","82,6","81,8","79,7","79,3"
119. Cam Ranh,"74,5","75,0","76,1","76,4","75,7","74,1","73,6","73,9","78,7","80,8","79,1","75,6","76,1"
120. Trường Sa,"85,5","84,3","81,7","79,7","79,5","81,4","82,3","83,2","83,0","82,7","84,4","86,1","82,9"
121. Phan Thiết,"75,0","75,3","76,6","77,7","79,8","81,4","83,2","83,5","84,3","83,3","79,9","76,8","79,7"
122. Hàm Tân,"77,2","76,9","77,8","78,6","81,7","84,7","85,7","86,1","86,5","85,3","81,3","78,6","81,7"
123. Phú Quý,"80,1","82,1","82,1","81,6","82,6","85,1","85,3","85,8","85,7","85,3","84,2","81,0","83,3"
124. Đắk Tô,"73,9","71,7","72,1","76,3","81,8","86,8","88,1","89,2","88,1","84,5","79,4","76,6","80,7"
125. Kon Tum,"70,8","68,3","68,2","71,7","78,7","83,6","85,1","86,5","85,7","81,2","76,7","73,3","77,2"
126. Pleiku,"76,6","73,7","72,0","75,1","82,9","89,1","90,8","91,9","90,4","86,1","82,1","79,0","82,5"
127. An Khê,"84,9","83,1","80,9","79,1","79,1","79,6","80,5","82,1","84,7","86,7","87,4","86,5","82,9"
128. Ayun Pa,"78,0","74,8","71,1","70,8","75,5","78,2","79,7","81,9","84,4","85,7","84,1","81,2","78,8"
129. M’Đrắk,"85,8","82,9","79,3","78,2","78,8","78,0","77,1","77,7","83,2","87,4","88,8","88,5","82,2"
130. Buôn Ma Thuột,"77,6","74,2","72,0","72,8","80,2","84,8","86,1","87,4","88,4","86,5","84,5","82,1","81,4"
131. Buôn Hồ,"84,4","79,8","76,4","76,1","81,6","86,4","88,3","89,8","89,6","89,3","88,9","88,1","84,9"
132. Đắk Nông,"76,1","74,5","75,7","80,4","85,5","88,8","88,5","90,2","89,9","86,3","82,5","79,0","83,1"
133. Liên Khương,"73,7","71,1","70,7","75,4","81,3","84,6","85,3","86,0","87,2","85,7","81,5","77,4","80,0"
134. Đà Lạt,"81,2","77,7","78,1","83,3","87,2","88,8","89,7","90,4","90,2","88,6","85,4","84,2","85,5"
135. Bảo Lộc,"79,9","78,2","79,3","83,0","86,8","89,3","90,1","90,8","90,5","89,0","86,3","83,4","85,5"
136. Đồng Phú (Đồng Xoài),"71,0","69,1","68,9","74,4","80,3","84,4","86,1","87,1","87,6","86,2","81,4","74,8","79,3"
137. Phước Long,"70,9","70,2","70,8","74,7","80,6","85,1","86,7","88,1","88,4","86,3","80,2","74,3","79,8"
138. Tây Ninh,"72,3","72,5","72,2","74,7","80,6","84,1","84,1","85,0","86,4","85,5","80,3","74,8","79,4"
139. Vũng Tàu,"77,2","77,4","77,2","76,9","79,1","81,7","82,8","83,3","83,7","84,0","81,0","78,7","80,3"
140. Côn Đảo,"77,7","79,5","79,7","79,4","80,6","81,6","80,8","80,5","82,5","84,2","81,9","79,2","80,7"
141. Mộc Hoá,"77,6","77,8","76,8","77,1","81,9","84,5","84,8","84,2","83,6","82,4","79,8","77,3","80,7"
142. Mỹ Tho,"79,2","78,4","78,4","78,0","81,4","83,1","83,7","84,3","85,0","85,3","83,2","81,4","82,2"
143. Cao Lãnh,"81,8","80,6","78,3","79,0","83,5","85,1","85,8","85,8","85,4","85,3","82,6","81,2","82,8"
144. Ba Tri,"80,0","81,3","81,0","80,1","82,7","84,4","85,2","86,0","86,8","87,1","85,0","82,8","83,6"
145. Càng Long,"80,6","79,2","78,8","79,9","84,8","86,4","87,1","87,5","88,1","87,4","85,1","83,0","84,0"
146. Châu Đốc,"78,4","79,4","77,2","77,1","81,9","83,3","83,4","82,8","83,7","83,2","80,0","78,0","80,7"
147. Cần Thơ,"80,9","79,4","77,9","78,2","83,7","86,0","86,2","87,0","87,1","86,2","84,3","82,1","83,4"
148. Sóc Trăng,"79,5","78,3","77,5","78,3","84,0","86,6","87,1","87,5","88,2","87,6","85,2","82,4","83,5"
149. Rạch Giá,"78,8","77,9","76,5","78,2","82,5","84,1","85,0","85,6","85,0","84,1","81,6","79,4","81,5"
150. Phú Quốc,"75,9","77,4","77,5","80,2","83,2","85,2","85,9","86,5","87,3","86,3","79,5","73,8","81,6"
151. Bạc Liêu,"80,7","79,5","78,9","78,8","83,2","85,9","86,8","87,7","88,7","88,8","86,4","84,0","84,1"
152. Cà Mau,"79,9","78,8","78,0","78,2","82,9","85,4","85,9","86,4","86,7","86,9","85,1","81,7","83,0"
