Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Lai Châu,1904,2100,2474,2914,2985,3155,2848,2909,2885,2483,2195,1999,2571
2. Sơn La,2034,2368,2981,3441,3729,3836,3667,3476,3280,2811,2386,2052,3005
3. Sa Pa,1105,1251,1786,2221,2527,2662,2555,2496,2248,1858,1313,1179,1934
4. Cao Bằng,1897,2426,2423,2973,3433,3581,3430,3180,3052,2652,2209,2054,2776
5. Hà Nội,2017,2195,2368,2983,3488,3720,3379,3269,2984,2611,2336,2126,2790
6. Phủ Liễn,1955,1947,1978,2683,3326,3345,3185,2967,2826,2528,2317,2142,2600
7. Thanh Hóa,2017,2148,2379,2920,3245,3344,3181,3080,2839,2552,2312,2057,2673
8. Vinh,1553,1667,2035,2677,2781,3113,2903,3018,2576,2138,1831,1689,2332
9. Đà Nẵng,1970,2457,2513,2747,2606,2668,2478,2857,2568,2176,1989,1771,2400
10. Plêiku,2045,2088,2295,3068,3359,3058,2897,3006,3020,2837,2545,2128,2695
11. Đà Lạt,2563,2333,2350,2855,2914,3463,3230,3452,3436,3268,2777,2457,2925
12. Tân Sơn Nhất,2184,2436,2505,2919,2783,3211,2754,3323,2977,2848,2491,2477,2742
13. Cần Thơ,2518,2774,2923,3023,2788,2856,2826,2867,2619,2503,2435,2402,2711
