Loại công trình,Chỉ tiêu sử dụng công trình tối thiểu,Chỉ tiêu sử dụng đất tối thiểu,,
Loại công trình,Đơn vị tính,Chỉ tiêu,Đơn vị tính,Chỉ tiêu
A. Giáo dục,,,,
1. Trường mầm non,cháu/1 000 người,50,$m^{2}$/1 cháu,12
2. Trường tiểu học,học sinh /1 000 người,65,$m^{2}$/1 học sinh,10
3. Trường trung học cơ sở,học sinh /1 000 người,55,$m^{2}$/1 học sinh,10
B. Y tế,,,,
4. Trạm y tế,trạm,1,$m^{2}$/trạm,500
C. Văn hóa - Thể dục thể thao,,,,
5. Sân chơi,,$m^{2}$/người,"0,5",
6. Sân luyện tập,,$m^{2}$/người,"0,5",
6. Sân luyện tập,,ha/công trình,"0,3",
7. Trung tâm Văn hóa - Thể thao,công trình,1,$m^{2}$/công trình,5 000
D. Thương mại,,,,
8. Chợ,công trình,1,$m^{2}$/công trình,2 000
