Loại công trình,Chỉ tiêu sử dụng công trình tối thiểu,Chỉ tiêu sử dụng đất tối thiểu,,
Loại công trình,Đơn vị tính,Chỉ tiêu,Đơn vị tính,Chỉ tiêu
A. Giáo dục,,,,
1. Trường trung học phổ thông,học sinh /1 000 người,40,$m^{2}$/1 học sinh,10
B. Y tế,,,,
2. Bệnh viện đa khoa,giường/1 000 người,4,$m^{2}$/giường bệnh,100
C. Văn hóa - Thể dục thể thao,,,,
3. Sân thể thao cơ bản,,$m^{2}$/người,"0,6",
3. Sân thể thao cơ bản,,ha/công trình,"1,0",
4. Sân vận động,,$m^{2}$/người,"0,8",
4. Sân vận động,,ha/công trình,"2,5",
5. Trung tâm Văn hóa - Thể thao,,$m^{2}$/người,"0,8",
5. Trung tâm Văn hóa - Thể thao,,ha/công trình,"3,0",
6. Nhà văn hóa (hoặc Cung văn hóa),chỗ/ 1 000 người,8,ha/công trình,"0,5"
7. Nhà thiếu nhi (hoặc Cung thiếu nhi),chỗ/ 1 000 người,2,ha/công trình,"1,0"
D. Thương mại,,,,
8. Chợ,công trình,1,ha/công trình,"1,0"
